actions,category,drugbank_id,known_action,organism,uniprot_id
inhibitor,target,DB00001,yes,Humans,P00734
antagonist,target,DB00002,yes,Humans,P00533
,target,DB00002,unknown,Humans,O75015
,target,DB00002,unknown,Humans,P00736
,target,DB00002,unknown,Humans,P02745
,target,DB00002,unknown,Humans,P02746
,target,DB00002,unknown,Humans,P02747
,target,DB00002,unknown,Humans,P08637
,target,DB00002,unknown,Humans,P09871
,target,DB00002,unknown,Humans,P12314
,target,DB00002,unknown,Humans,P12318
,target,DB00002,unknown,Humans,P31994
,target,DB00002,unknown,Humans,P31995
binder,target,DB00004,yes,Humans,P01589
agonist,target,DB00004,yes,Humans,P14784
,target,DB00004,unknown,Humans,P31785
antibody,target,DB00005,yes,Humans,P01375
,target,DB00005,unknown,Humans,P20333
,target,DB00005,unknown,Humans,P12314
,target,DB00005,unknown,Humans,P08637
,target,DB00005,unknown,Humans,P12318
,target,DB00005,unknown,Humans,P31994
,target,DB00005,unknown,Humans,P31995
,target,DB00005,unknown,Humans,P01374
,target,DB00005,unknown,Humans,O75015
,target,DB00005,unknown,Humans,P09871
,target,DB00005,unknown,Humans,P00736
,target,DB00005,unknown,Humans,P02745
,target,DB00005,unknown,Humans,P02746
,target,DB00005,unknown,Humans,P02747
inhibitor,target,DB00006,yes,Humans,P00734
inhibitor,enzyme,DB00006,unknown,Humans,P05164
agonist,target,DB00007,yes,Humans,P30968
substrate,enzyme,DB00007,no,Humans,P08684
agonist,target,DB00008,yes,Humans,P48551
agonist,target,DB00008,yes,Humans,P17181
inhibitor,enzyme,DB00008,unknown,Humans,P05177
activator,target,DB00009,yes,Humans,P00747
,target,DB00009,yes,Humans,P02671
,target,DB00009,unknown,Humans,Q03405
,target,DB00009,unknown,Humans,P05121
agonist,target,DB00010,yes,Humans,Q02643
agonist,target,DB00011,yes,Humans,P48551
agonist,target,DB00011,yes,Humans,P17181
inhibitor,enzyme,DB00011,unknown,Humans,P05177
agonist,target,DB00012,yes,Humans,P19235
activator,target,DB00013,yes,Humans,P00747
,target,DB00013,yes,Humans,Q03405
,target,DB00013,yes,Humans,P00749
,target,DB00013,yes,Humans,P00750
,target,DB00013,yes,Humans,P05121
,target,DB00013,yes,Humans,P05120
,target,DB00013,unknown,Humans,P05154
,target,DB00013,unknown,Humans,P98164
,target,DB00013,unknown,Humans,Q9Y5Y6
,target,DB00013,unknown,Humans,P14543
