drugbank_id	actor_id
DB00006	128270-60-0
DB00007	53714-56-0
DB00014	145781-92-6
DB00014	65807-02-5
DB00035	16679-58-6
DB00035	16789-98-3
DB00035	62288-83-9
DB00035	62357-86-2
DB00035	6917-99-3
DB00050	120287-85-6
DB00050	130289-71-3
DB00050	145672-81-7
DB00080	103060-53-3
DB00091	55126-45-9
DB00091	59865-13-3
DB00091	79217-60-0
DB00093	56-59-7
DB00104	79517-01-4
DB00106	183552-38-7
DB00114	104018-07-7
DB00114	104625-95-8
DB00114	124051-94-1
DB00114	22816-56-4
DB00114	34317-37-8
DB00114	41468-25-1
DB00114	52064-48-9
DB00114	54-47-7
DB00114	56896-69-6
DB00114	5913-70-2
DB00114	62055-05-4
DB00114	65572-55-6
DB00115	22541-53-3
DB00115	65860-59-5
DB00115	68-19-9
DB00116	29347-89-5
DB00117	150-35-6
DB00117	184709-11-3
DB00117	26062-48-6
DB00117	7006-35-1
DB00117	7230-69-5
DB00117	90081-11-1
DB00117	96185-91-0
DB00118	110899-33-7
DB00118	23095-97-8
DB00118	24346-00-7
DB00118	29908-03-0
DB00118	3493-13-8
DB00118	58994-55-1
DB00118	86562-85-8
DB00119	127-17-3
DB00119	25713-22-8
DB00119	57-60-3
DB00120	10549-09-4
DB00120	10549-11-8
DB00120	150-30-1
DB00120	30394-07-1
DB00120	63-91-2
DB00120	673-06-3
DB00121	15720-24-8
DB00121	56846-45-8
DB00121	58-85-5
DB00122	139741-81-4
DB00122	5413-08-1
DB00123	12798-06-0
DB00123	20166-34-1
DB00123	25104-18-1
DB00123	26714-32-9
DB00123	26853-89-4
DB00123	280114-50-3
DB00123	4252-21-5
DB00123	56-87-1
DB00123	70-54-2
DB00123	923-27-3
DB00125	134309-35-6
DB00125	142-49-4
DB00125	157-06-2
DB00125	17806-42-7
DB00125	25212-18-4
DB00125	4455-52-1
DB00125	7004-12-8
DB00125	7200-25-1
DB00125	74-79-3
DB00125	90663-77-7
DB00126	50-81-7
DB00126	62624-30-0
DB00126	89-65-6
DB00126	89924-69-6
DB00127	115-04-8
DB00127	187224-60-8
DB00127	187224-61-9
DB00127	187224-63-1
DB00127	187224-64-2
DB00127	2779-91-1
DB00127	29605-46-7
DB00127	306-67-2
DB00127	71-44-3
DB00128	155436-59-2
DB00128	1783-96-6
DB00128	181119-33-5
DB00128	27881-03-4
DB00128	39162-75-9
DB00128	56-84-8
DB00128	617-45-8
DB00129	25104-12-5
DB00129	33960-23-5
DB00129	348-66-3
DB00129	410523-46-5
DB00129	616-07-9
DB00129	70-26-8
DB00130	26700-71-0
DB00130	32640-56-5
DB00130	56-85-9
DB00130	585-21-7
DB00130	5959-95-5
DB00130	6899-04-3
DB00131	13270-66-1
DB00131	162756-82-3
DB00131	24937-83-5
DB00131	29984-33-6
DB00131	31077-38-0
DB00131	34051-12-2
DB00131	3768-35-2
