drugbank_id	brenda_id
DB00006	13504
DB00006	151566
DB00006	28560
DB00091	1044
DB00091	13159
DB00091	133914
DB00091	134728
DB00091	170708
DB00091	17614
DB00091	88208
DB00104	119658
DB00114	122928
DB00114	13475
DB00114	1564
DB00114	16014
DB00114	32
DB00114	4558
DB00114	51895
DB00114	53888
DB00115	105730
DB00115	23
DB00115	43946
DB00115	4514
DB00115	49473
DB00115	49474
DB00115	56519
DB00115	56654
DB00115	878
DB00116	10793
DB00116	109833
DB00116	109859
DB00116	109860
DB00116	111823
DB00116	123420
DB00116	136574
DB00116	152407
DB00116	16104
DB00116	17543
DB00116	207
DB00116	21915
DB00116	2714
DB00116	4285
DB00116	44093
DB00116	4654
DB00116	50305
DB00116	50404
DB00116	50409
DB00116	50990
DB00116	5326
DB00116	5495
DB00116	55060
DB00116	90288
DB00116	91834
DB00116	97651
DB00117	1062
DB00117	1063
DB00117	124062
DB00117	124072
DB00117	124789
DB00117	124801
DB00117	15741
DB00117	21613
DB00117	21614
DB00117	3068
DB00117	349
DB00117	3625
DB00117	50804
DB00117	6510
DB00117	834
DB00118	15955
DB00118	17531
DB00118	22894
DB00118	22895
DB00118	22896
DB00118	24
DB00118	404
DB00118	42734
DB00118	43709
DB00118	49410
DB00118	49411
DB00118	4975
DB00118	55151
DB00118	75858
DB00119	106549
DB00119	12318
DB00119	136939
DB00119	145520
DB00119	1725
DB00119	175251
DB00119	31
DB00119	7346
DB00119	91172
DB00120	104
DB00120	1232
DB00120	136562
DB00120	145037
DB00120	145949
DB00120	171017
DB00120	171018
DB00120	17951
DB00120	197770
DB00120	203
DB00120	379
DB00120	429
DB00120	46062
DB00120	6516
DB00120	946
DB00121	12729
DB00121	143
DB00121	20214
DB00121	29884
DB00122	149
DB00122	30682
DB00123	106417
DB00123	106418
DB00123	1107
DB00123	111041
DB00123	134
DB00123	134287
DB00123	145031
DB00123	145943
DB00123	1531
DB00123	156607
DB00123	166192
DB00123	171012
DB00123	175432
DB00123	2732
DB00123	35486
DB00123	43971
DB00123	47890
DB00123	502
DB00123	649
DB00123	6887
DB00123	88205
DB00125	100782
DB00125	106388
DB00125	106389
DB00125	123
DB00125	1255
DB00125	1349
DB00125	136824
DB00125	138050
DB00125	145021
DB00125	145935
DB00125	178
DB00125	208295
DB00125	367
DB00125	532
DB00125	90934
DB00125	93270
DB00125	96159
DB00126	10283
DB00126	10675
DB00126	123034
DB00126	16788
DB00126	210607
DB00126	21727
DB00126	23832
DB00126	2847
DB00126	29890
DB00126	29897
DB00126	387
DB00126	44936
DB00126	45434
DB00126	48189
DB00126	49968
DB00126	50067
DB00126	50076
DB00126	548
DB00126	5641
DB00126	94
DB00126	96653
DB00126	974
DB00126	97561
DB00127	107269
DB00127	107270
DB00127	161306
DB00127	197
DB00128	105981
DB00128	1353
DB00128	137269
DB00128	145027
DB00128	145044
DB00128	145940
DB00128	145958
DB00128	1465
DB00128	16465
DB00128	170998
DB00128	170999
DB00128	294
DB00128	2947
DB00128	304
DB00128	34449
DB00128	43975
DB00128	49150
DB00128	55021
DB00128	57465
DB00128	634
DB00128	724
DB00128	92996
DB00128	96164
DB00128	97
DB00129	106425
DB00129	106426
DB00129	108680
DB00129	192
DB00129	20254
DB00129	2550
DB00129	33186
DB00129	3657
DB00129	44717
DB00129	45078
DB00129	576
DB00129	5960
DB00129	885
DB00129	93763
DB00129	98023
DB00130	102
DB00130	104499
DB00130	113707
DB00130	138052
DB00130	145026
DB00130	145028
DB00130	145942
DB00130	2138
DB00130	2731
DB00130	337
DB00130	36640
DB00130	378
DB00130	47888
DB00130	69708
DB00130	755
DB00131	10568
DB00131	112997
DB00131	128823
DB00131	128845
DB00131	137739
DB00131	145783
DB00131	145785
DB00131	146936
DB00131	149841
DB00131	15563
DB00131	15611
DB00131	16056
DB00131	16462
DB00131	165685
DB00131	175495
DB00131	214839
DB00131	236
DB00131	2942
DB00131	29700
DB00131	30
DB00131	43676
DB00131	43708
DB00131	43765
DB00131	45234
DB00131	46964
DB00131	4780
DB00131	58129
DB00131	6479
DB00131	92278
DB00132	101867
DB00132	115971
DB00132	1413
DB00132	2620
DB00132	32469
DB00132	42607
DB00132	4329
DB00132	43935
DB00132	46114
DB00132	5572
DB00132	56444
DB00132	66964
DB00132	6976
DB00132	90146
DB00133	103869
DB00133	12517
DB00133	145040
DB00133	145952
DB00133	262
DB00133	29971
DB00133	35658
DB00133	481
DB00133	870
DB00133	930
DB00133	95
DB00133	96651
DB00133	972
DB00134	126787
DB00134	136827
DB00134	138053
DB00134	1500
DB00134	214921
DB00134	4520
DB00134	468
DB00134	56962
DB00134	678
DB00134	692
DB00134	75862
DB00134	88
DB00134	957
DB00135	109
DB00135	1643
DB00135	195138
DB00135	195139
DB00135	20761
DB00135	2139
DB00135	30315
DB00135	415
DB00135	45800
DB00135	47528
DB00135	5965
DB00135	618
DB00135	709
DB00135	92998
DB00136	102023
DB00136	12463
DB00136	156164
DB00136	163402
DB00136	166443
DB00136	166446
DB00136	168065
DB00136	168069
DB00136	1953
DB00136	199247
DB00136	211044
DB00136	63208
DB00136	84138
DB00136	85527
DB00136	85528
DB00136	85529
DB00136	86868
DB00137	16796
DB00138	108819
DB00138	1218
DB00138	1967
DB00138	45661
DB00138	5958
DB00138	93274
DB00139	105625
DB00139	137838
DB00139	2759
DB00139	58
DB00139	93193
DB00139	97700
DB00140	106420
DB00140	27198
DB00140	31626
DB00140	351
DB00140	41645
DB00140	43783
DB00140	45447
DB00140	92475
DB00142	110999
DB00142	1163
DB00142	1178
DB00142	124071
DB00142	124799
DB00142	145025
DB00142	145029
DB00142	145938
DB00142	145941
DB00142	155461
DB00142	202
DB00142	20219
DB00142	297
DB00142	3205
DB00142	343
DB00142	344
DB00142	41
DB00142	48295
DB00142	56579
DB00142	56960
DB00142	96319
DB00143	106195
DB00143	106196
DB00143	122594
DB00143	123233
DB00143	137653
DB00143	142
DB00143	153437
DB00143	154427
DB00143	20335
DB00143	28772
DB00143	30735
DB00143	44
DB00143	53702
DB00143	53708
DB00143	593
DB00143	62912
DB00143	9169
DB00143	93443
DB00143	93446
DB00143	93826
DB00145	106407
DB00145	12424
DB00145	12579
DB00145	145939
DB00145	163
DB00145	38017
DB00145	39418
DB00145	72
DB00146	15672
DB00146	4387
DB00146	5636
DB00146	6237
DB00146	86848
DB00147	101928
DB00147	109798
DB00147	45867
DB00147	608
DB00148	433
DB00149	113715
DB00149	124073
DB00149	124800
DB00149	126785
DB00149	127
DB00149	145030
DB00149	145056
DB00149	145944
DB00149	145970
DB00149	1717
DB00149	20253
DB00149	2480
DB00149	421
DB00149	424
DB00149	43092
DB00149	45498
DB00149	46202
DB00149	641
DB00149	90931
DB00149	95409
DB00150	107452
DB00150	107453
DB00150	109814
DB00150	119
DB00150	13059
DB00150	1728
DB00150	195522
DB00150	420
DB00150	817
DB00150	821
DB00150	888
DB00151	12515
DB00151	1350
DB00151	136826
DB00151	138051
DB00151	153
DB00151	215316
DB00151	2269
DB00151	336
DB00151	553
DB00151	74
DB00152	16149
DB00152	642
DB00153	186665
DB00153	211342
DB00153	8344
DB00154	109036
DB00154	123483
DB00154	136272
DB00154	148685
DB00154	150163
DB00154	207722
DB00154	220317
DB00154	225478
DB00154	29652
DB00154	4495
DB00154	46133
DB00154	49928
DB00154	93314
DB00154	9996
DB00155	145055
DB00155	145969
DB00155	1464
DB00155	153429
DB00155	154419
DB00155	24602
DB00155	39375
DB00155	42240
DB00155	44303
DB00155	93273
DB00155	938
DB00156	10645
DB00156	120819
DB00156	164150
DB00156	171025
DB00156	171026
DB00156	1718
DB00156	20757
DB00156	250
DB00156	2764
DB00156	2967
DB00156	2991
DB00156	3496
DB00156	41719
DB00156	42621
DB00156	43728
DB00156	7217
DB00156	780
DB00156	9135
DB00156	9158
DB00156	93266
DB00156	9746
DB00158	10763
DB00158	108872
DB00158	12672
DB00158	12830
DB00158	1322
DB00158	142288
DB00158	150199
DB00158	170829
DB00158	19682
DB00158	218797
DB00158	2840
DB00158	30367
DB00158	46495
DB00158	49991
DB00158	96506
DB00158	96507
DB00158	98564
DB00158	98605
DB00159	126492
DB00159	16892
DB00159	20256
DB00159	215747
DB00159	2992
DB00159	41642
DB00159	5496
DB00159	9998
DB00160	103
DB00160	104512
DB00160	10860
DB00160	124070
DB00160	124798
DB00160	145019
DB00160	145932
DB00160	149163
DB00160	164
DB00160	2483
DB00160	251
DB00160	291
DB00160	30646
DB00160	369
DB00160	49302
DB00160	49303
DB00160	654
DB00160	90334
DB00160	93022
DB00160	93791
DB00160	95470
DB00161	1079
DB00161	1210
DB00161	129091
DB00161	171028
DB00161	171029
DB00161	1920
DB00161	2157
DB00161	246
DB00161	7187
DB00161	835
DB00161	90966
DB00161	96453
DB00162	123632
DB00162	1356
DB00162	136538
DB00162	166433
DB00162	17627
DB00162	202767
DB00162	2186
DB00162	30643
DB00162	3700
DB00162	5281
DB00162	5515
DB00162	57274
DB00162	7302
DB00162	847
DB00163	144584
DB00163	5933
DB00163	6033
DB00165	103564
DB00165	104948
DB00165	1051
DB00165	20816
DB00166	108671
DB00166	109131
DB00166	109375
DB00166	125592
DB00166	130828
DB00166	130842
DB00166	132268
DB00166	20116
DB00166	2025
DB00166	210665
DB00166	32966
DB00166	3823
DB00166	44090
DB00166	57776
DB00166	59498
DB00166	7647
DB00166	9157
DB00167	1028
DB00167	105393
DB00167	1074
DB00167	10856
DB00167	1088
DB00167	11201
DB00167	112045
DB00167	113712
DB00167	113734
DB00167	126067
DB00167	16081
DB00167	171010
DB00167	171011
DB00167	29968
DB00167	311
DB00167	43967
DB00167	43968
DB00167	47886
DB00167	51725
DB00167	7179
DB00169	167680
DB00169	21236
DB00169	25101
DB00169	2767
DB00170	108128
DB00170	16686
DB00170	1950
DB00170	240
DB00170	4340
DB00170	49730
DB00170	83128
DB00171	105372
DB00171	105820
DB00171	12415
DB00171	148048
DB00171	21348
DB00171	23575
DB00171	3789
DB00171	4
DB00171	43779
DB00171	4781
DB00171	5937
DB00171	72085
DB00171	90940
DB00171	90970
DB00171	9102
DB00171	91792
DB00171	92161
DB00171	92165
DB00171	92276
DB00171	92277
DB00171	92425
DB00171	92472
DB00171	96166
DB00171	96167
DB00172	107122
DB00172	107123
DB00172	1089
DB00172	145039
DB00172	145951
DB00172	1625
DB00172	1864
DB00172	199526
DB00172	199527
DB00172	243
DB00172	7416
DB00172	816
DB00172	921
DB00172	93284
DB00173	13045
DB00173	144
DB00173	214750
DB00174	100482
DB00174	104494
DB00174	136825
DB00174	1506
DB00174	2194
DB00174	2264
DB00174	2293
DB00174	266
DB00174	31803
DB00174	840
DB00174	96332
DB00175	11499
DB00175	135291
DB00176	145053
DB00176	145967
DB00176	75624
DB00177	160184
DB00177	160190
DB00178	159770
DB00178	4397
DB00179	107574
DB00179	143361
DB00179	155081
DB00179	205109
DB00179	220065
DB00179	55740
DB00179	926
DB00181	20134
DB00182	23089
DB00182	23090
DB00182	3808
DB00182	39740
DB00182	40962
DB00182	42060
DB00182	5131
DB00184	123311
DB00184	123331
DB00184	123346
DB00184	174991
DB00184	210363
DB00184	2572
DB00184	6751
DB00185	144828
DB00186	8612
DB00187	217392
DB00188	16402
DB00188	42093
DB00188	4725
DB00190	204537
DB00190	213859
DB00190	5137
DB00190	71009
DB00190	86933
DB00190	96134
DB00190	96671
DB00191	5837
DB00194	10436
DB00194	122
DB00194	12413
DB00194	129876
DB00194	138914
DB00194	143949
DB00194	158404
DB00194	165684
DB00194	193173
DB00194	193174
DB00194	194590
DB00194	31758
DB00194	32998
DB00194	33107
DB00194	37816
DB00194	43780
DB00194	43781
DB00194	48790
DB00194	48791
DB00194	51966
DB00194	63164
DB00194	69594
DB00194	92163
DB00194	96080
DB00194	99843
DB00196	127066
DB00196	1579
DB00196	49056
DB00197	227109
DB00197	3139
DB00197	83446
DB00198	148611
DB00198	197465
DB00198	208336
DB00198	208337
DB00198	2796
DB00199	106012
DB00199	106013
DB00199	41741
DB00199	5148
DB00200	1
DB00200	100701
DB00200	109051
DB00200	109526
DB00200	219461
DB00200	222024
DB00200	227575
DB00200	2833
DB00200	29912
DB00200	32651
DB00200	3836
DB00200	5159
DB00200	5935
DB00200	9101
DB00201	207634
DB00201	207635
DB00201	51266
DB00201	7965
DB00201	882
DB00202	101506
DB00202	20528
DB00202	36929
DB00202	44844
DB00203	117589
DB00203	117592
DB00203	615
DB00205	135447
DB00205	13930
DB00205	761
DB00206	220074
DB00206	9562
DB00207	35307
DB00208	155123
DB00211	208104
DB00211	212252
DB00212	18435
DB00212	31627
DB00215	145048
DB00215	145962
DB00215	167770
DB00215	18641
DB00215	75639
DB00218	13727
DB00220	1193
DB00220	65161
DB00221	208019
DB00222	147756
DB00224	1036
DB00224	115944
DB00224	51072
DB00224	65077
DB00224	66585
DB00225	151892
DB00225	15765
DB00227	111182
DB00227	17608
DB00227	20381
DB00227	2239
DB00228	93320
DB00229	16652
DB00233	12645
DB00233	25550
DB00233	5110
DB00233	5197
DB00233	7118
DB00234	167774
DB00235	3352
DB00238	1896
DB00242	143941
DB00242	2913
DB00242	5796
DB00242	8475
DB00243	143790
DB00244	109764
DB00244	1817
DB00244	3607
DB00244	36968
DB00245	66182
DB00246	80130
DB00247	106554
DB00249	44264
DB00249	50780
DB00249	6124
DB00249	77911
DB00249	8023
DB00250	25832
DB00250	3721
DB00250	44033
DB00250	91595
DB00252	103877
DB00252	10642
DB00252	108876
DB00252	43502
DB00252	49993
DB00254	13171
DB00254	213963
DB00254	3277
DB00255	10783
DB00255	1679
DB00255	44833
DB00257	1496
DB00257	48919
DB00257	48920
DB00258	105634
DB00258	105635
DB00258	13153
DB00258	15
DB00258	15676
DB00258	165102
DB00258	165103
DB00258	194467
DB00258	21553
DB00258	47
DB00258	57511
DB00258	751
DB00258	92882
DB00258	9524
DB00259	108364
DB00259	1096
DB00259	14624
DB00259	226958
DB00259	25096
DB00259	2606
DB00259	42531
DB00259	75654
DB00260	113267
DB00260	113731
DB00260	169744
DB00260	1924
DB00260	222834
DB00260	2837
DB00260	30721
DB00260	41592
DB00260	874
DB00260	94573
DB00262	127601
DB00262	144149
DB00262	18214
DB00262	19848
DB00262	4461
DB00262	56876
DB00262	9584
DB00263	11591
DB00263	57379
DB00264	114656
DB00264	151880
DB00266	15728
DB00266	18884
DB00266	3265
DB00266	36949
DB00266	38649
DB00266	44040
DB00266	754
DB00266	75518
DB00267	105653
DB00270	196830
DB00273	166019
DB00273	191445
DB00273	227498
DB00273	965
DB00274	13156
DB00274	153383
DB00274	154367
DB00275	198849
DB00276	10836
DB00276	11596
DB00276	156093
DB00276	48654
DB00276	57895
DB00277	1221
DB00277	23386
DB00278	8505
DB00279	101783
DB00279	10918
DB00279	122942
DB00279	12575
DB00279	132769
DB00279	144156
DB00279	2069
DB00279	220663
DB00279	24561
DB00279	33306
DB00279	5223
DB00279	5480
DB00279	62262
DB00279	66993
DB00279	9030
DB00281	100862
DB00281	146897
DB00281	9617
DB00282	212813
DB00282	7519
DB00285	210372
DB00289	80131
DB00290	12964
DB00291	6964
DB00292	14447
DB00293	13332
DB00293	143744
DB00293	209748
DB00293	3165
DB00293	32433
DB00294	172871
DB00297	22295
DB00297	62249
DB00300	165908
DB00300	77291
DB00302	20545
DB00302	99866
DB00303	3762
DB00305	151036
DB00305	3150
DB00310	5949
DB00311	129847
DB00311	26714
DB00311	33838
DB00311	39595
DB00311	4888
DB00311	643
DB00313	104648
DB00313	105944
DB00313	107471
DB00313	2424
DB00313	6032
DB00314	92823
DB00316	111336
DB00316	111608
DB00316	111868
DB00316	114965
DB00316	143804
DB00316	19996
DB00316	2541
DB00316	69698
DB00316	7459
DB00316	84044
DB00317	17786
DB00317	21851
DB00317	57709
DB00319	766
DB00320	201322
DB00321	211300
DB00321	24403
DB00321	4978
DB00322	113382
DB00322	136970
DB00322	24238
DB00322	24240
DB00322	3318
DB00322	3977
DB00322	43538
DB00322	77908
DB00323	23408
DB00325	16703
DB00327	15785
DB00328	125887
DB00328	127068
DB00328	546
DB00328	98002
DB00330	30726
DB00333	21629
DB00334	7606
DB00335	62194
DB00336	109538
DB00336	215804
DB00339	101385
DB00339	3666
DB00342	36985
DB00343	133916
DB00343	134730
DB00343	30986
DB00344	66192
DB00345	153376
DB00345	154359
DB00345	211680
DB00345	43415
DB00345	51856
DB00348	135218
DB00348	151008
DB00348	219930
DB00348	23285
DB00350	90818
DB00351	122895
DB00352	1253
DB00352	14340
DB00352	29358
DB00352	29360
DB00352	45935
DB00352	51290
DB00355	1487
DB00355	92524
DB00356	21821
DB00357	124968
DB00357	15629
DB00358	23282
DB00359	226953
DB00359	3097
DB00359	44819
DB00360	10690
DB00360	107739
DB00360	107740
DB00360	133938
DB00360	135256
DB00360	1371
DB00360	143340
DB00360	153356
DB00360	153573
DB00360	16679
DB00360	252
DB00360	2684
DB00360	32467
DB00360	36180
DB00360	38809
DB00360	46087
DB00360	49513
DB00360	49868
DB00360	56441
DB00360	56524
DB00360	61227
DB00360	6864
DB00360	7070
DB00360	8426
DB00360	95037
DB00360	954
DB00361	127602
DB00362	155388
DB00363	4685
DB00364	1
DB00364	100701
DB00364	109051
DB00364	219461
DB00364	222024
DB00364	227575
DB00364	264
DB00364	29912
DB00364	32651
DB00364	3836
DB00365	13425
DB00367	160369
DB00368	12877
DB00368	15889
DB00368	21442
DB00368	2574
DB00368	31671
DB00368	33053
DB00368	7352
DB00368	975
DB00369	36543
DB00369	63163
DB00370	210369
DB00373	156335
DB00378	175621
DB00379	122768
DB00380	139374
DB00380	156066
DB00380	17799
DB00380	227946
DB00380	53116
DB00380	93662
DB00381	9782
DB00382	1456
DB00382	199427
DB00382	220586
DB00382	29661
DB00384	27748
DB00384	45956
DB00385	127580
DB00385	94387
DB00388	113347
DB00388	113958
DB00388	23436
DB00388	94482
DB00390	5369
DB00390	61332
DB00390	9930
DB00391	3567
DB00391	75628
DB00392	2999
DB00392	47224
DB00396	11588
DB00396	127076
DB00396	13473
DB00396	20023
DB00396	286
DB00396	34377
DB00396	5917
DB00396	94795
DB00396	94796
DB00397	107660
DB00397	113730
DB00398	10040
DB00398	138692
DB00398	18796
DB00399	189166
DB00399	6184
DB00401	227464
DB00403	120129
DB00403	43890
DB00404	88187
DB00406	15685
DB00406	44152
DB00408	122953
DB00409	147734
DB00410	18240
DB00410	6019
DB00411	4506
DB00412	3404
DB00412	83445
DB00414	104957
DB00414	32136
DB00415	191
DB00415	80345
DB00416	16451
DB00416	507
DB00416	636
DB00417	15914
DB00417	2755
DB00418	94997
DB00419	11067
DB00419	138681
DB00419	156331
DB00419	167735
DB00419	197536
DB00419	197609
DB00419	197610
DB00419	29143
DB00419	3896
DB00419	55983
DB00419	7722
DB00420	38942
DB00420	7491
DB00421	13224
DB00421	142807
DB00422	148403
DB00422	161119
DB00422	161165
DB00422	72090
DB00422	72091
DB00422	75630
DB00425	145090
DB00425	146004
DB00428	5334
DB00429	103808
DB00429	129684
DB00429	155462
DB00429	317
DB00429	4057
DB00429	44904
DB00429	47193
DB00429	48484
DB00429	5624
DB00429	60566
DB00429	72292
DB00429	90921
DB00429	95258
DB00431	170804
DB00431	22309
DB00431	24212
DB00431	24215
DB00431	75952
DB00431	92532
DB00432	135616
DB00432	209608
DB00432	210497
DB00432	42444
DB00432	51433
DB00432	91973
DB00434	7429
DB00435	143641
DB00435	277
DB00435	39171
DB00435	662
DB00436	50643
DB00437	153379
DB00437	154362
DB00437	194408
DB00437	4335
DB00437	801
DB00438	122922
DB00438	37962
DB00438	743
DB00439	9778
DB00440	135449
DB00440	155221
DB00440	165947
DB00440	503
DB00440	55818
DB00440	95248
DB00441	149830
DB00441	153436
DB00441	154426
DB00441	16928
DB00441	1899
DB00441	2896
DB00441	29312
DB00441	40092
DB00441	72075
DB00443	105589
DB00443	1159
DB00443	12457
DB00443	43871
