drugbank_id	chemicalbook_id
DB00006	CB9471951
DB00007	CB7174300
DB00007	CB8398455
DB00014	CB1281026
DB00014	CB4281027
DB00035	CB5487392
DB00035	CB6399559
DB00050	CB0316370
DB00050	CB51478311
DB00050	CB9874701
DB00080	CB8855073
DB00091	CB5163816
DB00104	CB0279552
DB00104	CB2138033
DB00106	CB11117588
DB00114	CB0257385
DB00114	CB22131140
DB00114	CB6757175
DB00115	CB3126462
DB00115	CB6126463
DB00116	CB6259109
DB00117	CB2177472
DB00117	CB2772471
DB00117	CB6705020
DB00118	CB5855496
DB00118	CB6482930
DB00118	CB8384166
DB00119	CB5257557
DB00120	CB2488691
DB00120	CB4140195
DB00120	CB51568650
DB00120	CB8380047
DB00120	CB9773699
DB00121	CB0271541
DB00121	CB3271542
DB00122	CB1139255
DB00122	CB91178266
DB00123	CB2428693
DB00123	CB4492106
DB00123	CB6252771
DB00125	CB0693158
DB00125	CB2408147
DB00125	CB9226645
DB00126	CB3777943
DB00126	CB7853704
DB00127	CB1111051
DB00127	CB3275333
DB00127	CB6275334
DB00128	CB3141599
DB00128	CB6373566
DB00128	CB7233502
DB00128	CB8141600
DB00129	CB2199856
DB00129	CB7880919
DB00130	CB3472365
DB00130	CB6280105
DB00130	CB8381468
DB00130	CB8874643
DB00131	CB4404572
DB00132	CB2112323
DB00132	CB9666441
DB00133	CB0747387
DB00133	CB5673304
DB00133	CB7345179
DB00134	CB5748697
DB00134	CB6208758
DB00134	CB9208759
DB00135	CB1269334
DB00135	CB6686592
DB00135	CB8112714
DB00136	CB0171027
DB00136	CB42543066
DB00136	CB81872987
DB00137	CB9396094
DB00138	CB1219137
DB00138	CB5242140
DB00138	CB6394079
DB00139	CB9852802
DB00140	CB4383318
DB00141	CB4667317
DB00141	CB52130997
DB00141	CB8764858
DB00142	CB0391829
DB00142	CB4355560
DB00142	CB5116317
DB00142	CB6195447
DB00143	CB6320803
DB00145	CB2881360
DB00145	CB5336487
DB00145	CB9476608
DB00146	CB5727250
DB00146	CB62508058
DB00146	CB8727251
DB00147	CB3271476
DB00148	CB3674978
DB00149	CB4365169
DB00149	CB6677228
DB00149	CB8742186
DB00150	CB2280905
DB00150	CB3750054
DB00150	CB6107772
DB00151	CB3180857
DB00151	CB4407452
DB00151	CB6363851
DB00151	CB7388480
DB00153	CB3731934
DB00155	CB41022210
DB00155	CB6423883
DB00155	CB6479183
DB00155	CB7478532
DB00155	CB7949429
DB00156	CB2702647
DB00156	CB3489099
DB00156	CB4255642
DB00156	CB4475055
DB00156	CB5702648
DB00156	CB8119834
DB00156	CB8691943
DB00158	CB5100903
DB00160	CB4350297
DB00160	CB7671470
DB00160	CB7783360
DB00160	CB9143191
DB00161	CB3381690
DB00161	CB4875617
DB00161	CB5312867
DB00161	CB7291278
DB00162	CB2436102
DB00162	CB3512063
DB00162	CB8194893
DB00163	CB1275359
DB00163	CB5275357
DB00163	CB7132531
DB00165	CB0197939
DB00165	CB8197940
DB00166	CB2855536
DB00166	CB3186930
DB00166	CB4512242
DB00166	CB5180699
DB00166	CB7765979
DB00166	CB7855122
DB00166	CB82631400
DB00167	CB0473220
DB00167	CB1452310
DB00167	CB2678131
DB00167	CB5755462
DB00167	CB6327716
DB00169	CB01235577
DB00169	CB6104867
DB00169	CB6889016
DB00170	CB4494726
