drugbank_id	clinicaltrials_id
DB00006	ANGIOMAX
DB00006	ANGIOX
DB00006	BG-8967
DB00006	BG8967
DB00006	BIVALIRUDIN
DB00006	HIRULOG
DB00007	A-43818
DB00007	ABBOTT-43818
DB00007	CARCINIL
DB00007	CKD-841
DB00007	ELIGARD
DB00007	ENANTONE
DB00007	LEUPLIN
DB00007	LEUPROLIDE
DB00007	LEUPROLIDE ACETATE
DB00007	LEUPROLIDE MONOACETATE
DB00007	LEUPRORELIN
DB00007	LEUPRORELIN ACETATE
DB00007	LUCRIN
DB00007	LUPRON
DB00007	LUPRON DEPOT
DB00007	PROSTAP
DB00007	TAP-144
DB00007	TRENANTONE
DB00007	VIADUR
DB00014	FERTILAN
DB00014	GOSERELIN
DB00014	GOSERELIN ACETATE
DB00014	ICI 118,630
DB00014	ICI-118630
DB00014	ZOLADEX
DB00035	CONCENTRAID
DB00035	DDAVP
DB00035	DESMOPRESSIN
DB00035	DESMOPRESSIN ACETATE
DB00035	H01BA02
DB00035	MINIRIN
DB00035	NOCDURNA
DB00035	NOCTIVA
DB00035	STIMATE
DB00050	CETRORELIX
DB00050	CETRORELIX ACETATE
DB00050	CETROTIDE
DB00050	D-20761
DB00050	NS-75A
DB00050	SB-075 ACETATE
DB00080	CIDECIN
DB00080	CUBICIN
DB00080	DAPTOMYCIN
DB00080	LY 146032
DB00080	LY-146032
DB00091	27-400
DB00091	ATOPICA
DB00091	CEQUA
DB00091	CICLOSPORIN
DB00091	CYCLOSPORIN A
DB00091	CYCLOSPORINE
DB00091	GENGRAF
DB00091	IKERVIS
DB00091	NEORAL
DB00091	NEUROSTAT
DB00091	OL-27-400
DB00091	OPTIMMUNE
DB00091	RESTASIS
DB00091	SANDIMMUN
DB00091	SANDIMMUNE
DB00093	FELYPRESSIN
DB00093	PLV-2
DB00104	CAM-2029
DB00104	CAM2029
DB00104	OCTREOLIN
DB00104	OCTREOTIDE
DB00104	OCTREOTIDE ACETATE
DB00104	OCTREOTIDE PAMOATE
DB00104	SANDOSTATIN
DB00104	SMS 201-995
DB00104	SMS 201-995 AC
DB00104	SMS 201-995 PA
DB00104	SMS-201-995
DB00104	SMS-201-995 AC
DB00104	SMS-201-995 PA
DB00104	SMS-995
DB00104	SMS995
DB00106	ABARELIX
DB00106	PLENAXIS
DB00106	PPI-149
DB00106	R-3827
DB00106	R3827
DB00114	PYRIDOXAL 5-PHOSPHATE
DB00114	PYRIDOXAL PHOSPHATE
DB00117	HISTIDINE
DB00117	HISTIDINE HYDROCHLORIDE
DB00117	HISTIDINE MONOHYDROCHLORIDE
DB00117	L-HISTIDINE
DB00118	ADEMETIONINE
DB00118	ADOMET
DB00118	MSI-195
DB00118	S-ADENOSYLMETHIONINE
DB00120	L-PHENYLALANINE
DB00120	PHENYLALANINE
DB00121	BIOTIN
DB00121	MD-1003
DB00123	LYSINE
DB00125	ARGININE
DB00125	L-ARGININE
DB00126	ASCOR
DB00126	ASCORBIC ACID
DB00126	ASCORBICAP
DB00126	E-300
DB00128	ASPARTIC ACID
DB00128	L-ASPARTIC ACID
DB00129	ORNITHINE
DB00129	ORNITHINE OXOGLURATE
DB00130	ENDARI
DB00130	GLUTAMINE
DB00130	L-GLUTAMINE
DB00130	LEVOGLUTAMIDE
DB00130	NUTRESTORE
DB00131	5'-ADENYLIC ACID
DB00131	A 5MP
DB00131	A-5MP
DB00131	ADENOSINE PHOSPHATE
DB00131	VIDARABINE PHOSPHATE
DB00132	EPANOVA
DB00132	OMEGA-3-CARBOXYLIC ACIDS
DB00133	L-SERINE
DB00133	SERINE
DB00134	DL-METHIONINE
DB00134	L-METHIONINE
DB00134	METHIONINE
DB00134	RACEMETHIONINE
DB00135	L-TYROSINE
DB00135	TYROSINE
DB00136	CALCIJEX
DB00136	CALCITRIOL
DB00136	RO 21-5535
DB00136	RO-21-5535
DB00136	ROCALTROL
DB00136	VECTICAL
DB00138	CYSTINE
DB00138	L-CYSTINE
DB00139	SUCCINIC ACID
DB00140	RIBOFLAVIN
DB00142	GLUTAMIC ACID
DB00142	L-GLUTAMIC ACID
DB00142	NSC-143503
DB00143	GLUTATHIONE
DB00143	GLUTHAM
DB00143	L-GLUTATHIONE REDUCED
DB00145	GLYCINE
DB00146	CALCIFEDIOL
DB00146	CALDEROL
DB00146	CTAP101
DB00146	HIDROFEROL
DB00146	RAYALDEE
DB00149	L-LEUCINE
DB00149	LEUCINE
DB00150	L-TRYPTOPHAN
DB00150	TRYPTOPHAN
DB00151	CYSTEINE
DB00151	CYSTEINE HYDROCHLORIDE
DB00151	L-CYSTEINE
DB00152	ANEURINE
DB00152	THIAMINE
DB00152	THIAMINE HYDROCHLORIDE
DB00152	THIAMINE MONONITRATE
DB00152	VITAMIN B1
DB00153	DELTALIN
DB00153	DRISDOL
DB00153	ERCALCIOL
DB00153	ERGOCALCIFEROL
DB00153	OSTELIN
DB00153	VITAMIN D2
DB00156	L-THREONINE
DB00156	THREONINE
DB00158	FOLACIN
DB00158	FOLIC ACID
DB00158	FOLVITE
