drugbank_id	comptox_id
DB00006	DTXSID00155847
DB00007	DTXSID50872411
DB00007	DTXSID7049009
DB00014	DTXSID7048297
DB00014	DTXSID9046736
DB00035	DTXSID1048259
DB00035	DTXSID4046864
DB00050	DTXSID7040996
DB00050	DTXSID80156438
DB00080	DTXSID1041009
DB00091	DTXSID0020365
DB00093	DTXSID6048599
DB00104	DTXSID0048682
DB00106	DTXSID20171443
DB00114	DTXSID00207870
DB00114	DTXSID4048351
DB00114	DTXSID70146222
DB00114	DTXSID7046594
DB00115	DTXSID20177066
DB00115	DTXSID50159597
DB00115	DTXSID7044346
DB00115	DTXSID80167408
DB00115	DTXSID80216046
DB00116	DTXSID70897520
DB00117	DTXSID70413027
DB00117	DTXSID70889344
DB00117	DTXSID9023126
DB00118	DTXSID20110014
DB00118	DTXSID40169160
DB00118	DTXSID40240387
DB00118	DTXSID40436187
DB00118	DTXSID5032020
DB00118	DTXSID6032019
DB00119	DTXSID2021650
DB00119	DTXSID50205604
DB00119	DTXSID60431412
DB00119	DTXSID60436366
DB00120	DTXSID00585261
DB00120	DTXSID10435586
DB00120	DTXSID20583946
DB00120	DTXSID4025876
DB00120	DTXSID4040763
DB00120	DTXSID40514737
DB00120	DTXSID40583968
DB00120	DTXSID60443651
DB00120	DTXSID60514739
DB00120	DTXSID60583945
DB00120	DTXSID70514740
DB00120	DTXSID80514736
DB00120	DTXSID9023463
DB00120	DTXSID90584445
DB00121	DTXSID30415688
DB00121	DTXSID7022679
DB00122	DTXSID10241624
DB00122	DTXSID8043789
DB00123	DTXSID30584449
DB00123	DTXSID4074986
DB00123	DTXSID6023232
DB00125	DTXSID10745551
DB00125	DTXSID40883354
DB00125	DTXSID50238230
DB00125	DTXSID6041056
DB00125	DTXSID8022618
DB00126	DTXSID4074982
DB00126	DTXSID5020106
DB00126	DTXSID6026537
DB00126	DTXSID7048112
DB00127	DTXSID0059792
DB00127	DTXSID10632856
DB00127	DTXSID20610069
DB00127	DTXSID30703032
DB00127	DTXSID70884016
DB00127	DTXSID90171995
DB00127	DTXSID9058781
DB00128	DTXSID00437812
DB00128	DTXSID00677377
DB00128	DTXSID2045650
DB00128	DTXSID30487204
DB00128	DTXSID30859003
DB00128	DTXSID40583963
DB00128	DTXSID50503915
DB00128	DTXSID50746143
DB00128	DTXSID60583940
DB00128	DTXSID7022621
DB00128	DTXSID70487203
DB00128	DTXSID70584443
DB00128	DTXSID80583962
DB00128	DTXSID90487205
DB00129	DTXSID00883219
DB00129	DTXSID30883368
DB00130	DTXSID00574155
DB00130	DTXSID1023100
DB00130	DTXSID1044304
DB00130	DTXSID20472740
DB00130	DTXSID30745659
DB00130	DTXSID40583882
DB00130	DTXSID6046345
DB00131	DTXSID5022560
DB00131	DTXSID90349354
DB00132	DTXSID20857932
DB00132	DTXSID7025506
DB00132	DTXSID7075058
DB00133	DTXSID10585272
DB00133	DTXSID40583867
DB00133	DTXSID60883230
DB00133	DTXSID70859325
DB00133	DTXSID9041021
DB00133	DTXSID90481021
DB00133	DTXSID90745716
DB00134	DTXSID00583944
DB00134	DTXSID30237908
DB00134	DTXSID30574087
DB00134	DTXSID30745710
DB00134	DTXSID5040548
DB00134	DTXSID9020821
DB00134	DTXSID90574088
DB00134	DTXSID90883369
DB00135	DTXSID00437458
DB00135	DTXSID1023730
DB00135	DTXSID10473726
DB00135	DTXSID10480571
DB00135	DTXSID20478520
DB00135	DTXSID30480573
DB00135	DTXSID30583957
DB00135	DTXSID30584444
DB00135	DTXSID50480570
DB00135	DTXSID50883441
DB00135	DTXSID70439560
DB00135	DTXSID70480572
DB00135	DTXSID70583936
DB00135	DTXSID80437754
DB00135	DTXSID80584050
DB00135	DTXSID90480574
DB00136	DTXSID00746294
DB00136	DTXSID5022722
DB00136	DTXSID60860465
DB00136	DTXSID80873390
DB00136	DTXSID90515335
DB00137	DTXSID8046749
DB00138	DTXSID2046418
DB00138	DTXSID80745846
DB00138	DTXSID90208952
DB00139	DTXSID10437808
DB00139	DTXSID10514628
DB00139	DTXSID10584023
DB00139	DTXSID20583921
DB00139	DTXSID4036772
DB00139	DTXSID50584022
DB00139	DTXSID6023602
DB00139	DTXSID70514629
DB00140	DTXSID60230381
DB00140	DTXSID8021777
DB00140	DTXSID80240225
DB00141	DTXSID0048711
DB00141	DTXSID10856111
DB00141	DTXSID3045855
DB00141	DTXSID40708770
