chebi	drugbank
48042	DB11848
5130	DB00712
44612	DB08323
35863	DB09276
267413	DB01014
26836	DB11309
4781	DB13393
17418	DB02406
9605	DB00775
30111	DB04444
16881	DB04532
30863	DB03209
17486	DB00424
50992	DB11898
9398	DB00706
28085	DB01687
16830	DB01828
61076	DB05015
41378	DB02779
22066	DB03544
30831	DB04553
3745	DB01190
16332	DB04034
31530	DB12243
61745	DB04386
3537	DB09008
58375	DB08847
59898	DB01758
28794	DB04665
50815	DB00957
6030	DB00951
33216	DB06973
6704	DB00643
17597	DB03560
28490	DB14103
59118	DB12710
32589	DB14500
157175	DB00467
4910	DB00292
55486	DB13553
9711	DB00508
16828	DB00150
57952	DB03484
61058	DB00968
15714	DB08587
17431	DB08838
62166	DB13005
34761	DB11412
18397	DB04325
44348	DB01902
9150	DB00641
30069	DB06783
9753	DB00197
16946	DB02070
61074	DB09177
3479	DB01140
5100	DB01099
8069	DB01174
50567	DB00922
39505	DB04577
59477	DB01243
35114	DB04279
36751	DB02543
2674	DB00613
6456	DB00281
61936	DB03847
17682	DB14020
57972	DB00160
27919	DB14031
31677	DB14545
17929	DB01686
17394	DB12444
51038	DB00805
3558	DB00439
8597	DB00344
50199	DB00487
15686	DB04364
43081	DB07881
41965	DB04429
29002	DB04349
27997	DB04224
7514	DB01400
8711	DB01103
568021	DB13343
15793	DB03644
30841	DB02951
8884	DB00728
45927	DB03347
58773	DB02235
60799	DB11823
3761	DB00628
28984	DB01370
41607	DB04381
17606	DB05382
71223	DB06813
71019	DB04865
68478	DB01590
68606	DB08864
43040	DB02109
68855	DB08824
68845	DB08822
68590	DB08874
71229	DB06402
70746	DB06695
82716	DB08990
82722	DB12472
45353	DB02557
82941	DB01319
47344	DB03496
90851	DB05239
90929	DB11560
90933	DB06016
90942	DB09570
93307	DB13056
93414	DB04905
94490	DB11778
94513	DB00703
94563	DB09084
94598	DB13790
94646	DB06623
94661	DB05022
94773	DB13759
94777	DB08922
94793	DB14904
94796	DB01033
94805	DB05016
94807	DB00507
94820	DB11502
95001	DB12181
95016	DB12980
95043	DB12254
124965	DB12764
125628	DB05220
125354	DB06809
91325	DB07970
91359	DB14980
91383	DB07794
91407	DB11763
91408	DB12500
91437	DB12432
43208	DB04079
67168	DB02196
67040	DB00118
65345	DB12601
43978	DB03799
40070	DB03410
41183	DB03886
63630	DB00323
64213	DB12328
64310	DB08865
63637	DB08881
63082	DB00983
63334	DB01301
64028	DB04844
25879	DB06154
63605	DB04845
63624	DB01265
40909	DB07401
50212	DB06153
63580	DB00811
63450	DB11526
64564	DB12856
40799	DB07373
44616	DB04468
51043	DB01079
40940	DB07441
64341	DB07880
63635	DB01610
59030	DB12843
65552	DB04886
66913	DB05013
68595	DB05521
45409	DB00503
46229	DB01861
78825	DB15254
87826	DB14103
88176	DB11279
94398	DB13583
133584	DB12856
131762	DB04147
137948	DB03364
45086	DB04484
75399	DB02690
75501	DB04806
75902	DB14008
75984	DB01195
76252	DB13629
76399	DB08283
76565	DB02688
76917	DB00401
77148	DB14815
77319	DB12539
9139	DB00203
9362	DB00870
21412	DB03380
82975	DB09049
83531	DB01171
83719	DB15580
84043	DB14524
84050	DB05109
6896	DB08805
7566	DB11820
90529	DB07601
