drugbank_id	drugcentral_id
DB00006	385
DB00007	1559
DB00014	1327
DB00035	817
DB00050	583
DB00080	783
DB00091	760
DB00093	4910
DB00104	1980
DB00106	35
DB00114	3506
DB00117	1377
DB00118	2414
DB00120	2144
DB00121	373
DB00122	3097
DB00122	4635
DB00123	1622
DB00125	1549
DB00126	4072
DB00128	1550
DB00129	3401
DB00130	1311
DB00131	92
DB00132	4618
DB00133	4127
DB00134	3347
DB00135	2786
DB00136	466
DB00137	4145
DB00138	4130
DB00139	2487
DB00140	2834
DB00142	1310
DB00143	1312
DB00145	1319
DB00146	464
DB00147	4134
DB00148	4661
DB00149	1557
DB00150	2780
DB00151	769
DB00152	2832
DB00153	2838
DB00155	3103
DB00156	4254
DB00158	1231
DB00159	3174
DB00160	4255
DB00160	4306
DB00161	4128
DB00162	2831
DB00163	4280
DB00165	2836
DB00166	4732
DB00167	4129
DB00169	2840
DB00170	1683
DB00171	91
DB00172	4125
DB00173	89
DB00174	4126
DB00175	2239
DB00176	1230
DB00177	2806
DB00178	2356
DB00179	1637
DB00180	1201
DB00181	282
DB00182	1562
DB00182	195
DB00182	841
DB00183	2088
DB00184	1920
DB00185	584
DB00186	1606
DB00187	1054
DB00188	391
DB00189	1078
DB00190	496
DB00191	2140
DB00192	1434
DB00193	2711
DB00194	2818
DB00194	90
DB00195	356
DB00195	4752
DB00196	1187
DB00197	2767
DB00198	2001
DB00199	1048
DB00201	463
DB00202	2489
DB00203	2441
DB00204	942
DB00205	2332
DB00206	2370
DB00207	276
DB00208	2657
DB00209	2776
DB00210	87
DB00211	1803
DB00212	4696
DB00213	2054
DB00214	2708
DB00215	1053
DB00215	663
DB00216	995
DB00217	359
DB00218	1854
DB00219	2039
DB00220	1893
DB00221	1491
DB00222	1300
DB00223	4548
DB00224	1437
DB00226	1339
DB00227	1612
DB00228	1009
DB00229	548
DB00230	2255
DB00231	2585
DB00232	1759
DB00233	2050
DB00234	2361
DB00235	1809
DB00236	2192
DB00237	439
DB00238	1904
DB00239	3408
DB00241	441
DB00242	667
DB00243	2359
DB00244	1710
DB00245	333
DB00246	2865
DB00247	1775
DB00248	460
DB00249	1417
DB00250	782
DB00251	2599
DB00252	2152
DB00253	1662
DB00254	961
DB00255	875
DB00256	1619
DB00257	719
DB00258	4211
DB00259	2521
DB00260	759
DB00262	512
DB00263	2529
DB00264	1786
DB00265	744
DB00266	867
DB00267	538
DB00268	2402
DB00269	610
DB00270	1511
DB00271	851
DB00272	357
DB00273	2706
DB00274	539
DB00276	203
DB00277	2620
DB00278	239
DB00279	1585
DB00280	926
DB00281	1579
DB00282	2048
DB00283	671
