drugbank_id	fdasrs_id
DB00007	37JNS02E7V
DB00007	8E3C3C493W
DB00007	EFY6W0M8TG
DB00014	0F65R8P09N
DB00014	6YUU2PV0U8
DB00035	1K12647SFC
DB00035	242K8LE2BC
DB00035	ENR1LLB0FP
DB00035	XB13HYU18U
DB00050	26089221C6
DB00050	2BT5NKS83L
DB00050	DY3PDH8A8N
DB00050	OON1HFZ4BA
DB00050	W9Y8L7GP4C
DB00050	XPQ226310Q
DB00080	NWQ5N31VKK
DB00091	83HN0GTJ6D
DB00091	FUO6O3NDNH
DB00104	75R0U2568I
DB00104	H92K6Q47Q9
DB00104	MWH8YQ1AIO
DB00104	RWM8CCW8GP
DB00114	1JJ4V52LB5
DB00114	3RX65N0VN7
DB00114	42M12OH369
DB00114	5V5IOJ8338
DB00114	8CVG31K45S
DB00114	ERZ74D7E6J
DB00114	F06SGE49M6
DB00114	J766QN40UD
DB00114	X25TBW2YFJ
DB00115	3141X260DR
DB00115	AI1MR454XG
DB00115	C973T66178
DB00115	D6J4H4W8E9
DB00117	4QD397987E
DB00118	4G5PYL0DR1
DB00118	564ROC9U09
DB00118	6EZ5466ZUX
DB00118	K093C397UL
DB00118	R96GHU97Q3
DB00119	2GIJ84D9UB
DB00119	5PW2OK1N4S
DB00119	8558G7RUTR
DB00119	8C0WTU2O92
DB00119	HO43T60JMG
DB00119	X05SSQ7PT1
DB00120	032K16VRCU
DB00120	47E5O17Y3R
DB00120	IG69NF7L6D
DB00120	U4NZ734907
DB00121	6SO6U10H04
DB00122	M4AS4XGD4Q
DB00122	N91BDP6H0X
DB00122	Y1HDI47S6K
DB00123	3HQ6U6424Q
DB00123	K3Z4F929H6
DB00125	94ZLA3W45F
DB00125	R54Z304Z7C
DB00126	311332OII1
DB00126	C8DQ5M1Y1E
DB00126	PQ6CK8PD0R
DB00127	2FZ7Y3VOQX
DB00127	87YX4BD507
DB00127	9CI1570O48
DB00128	30KYC7MIAI
DB00128	4SR0Q8YD1X
DB00129	2H368YCK0U
DB00129	E524N2IXA3
DB00130	0RH81L854J
DB00130	63HB36CA2Y
DB00130	8P723CSS16
DB00130	905V50H511
DB00131	106XV160TZ
DB00131	415SHH325A
DB00132	0RBV727H71
DB00132	I5OYY436YI
DB00132	PO45E3L8YU
DB00133	1K77H2Z9B1
DB00133	452VLY9402
DB00134	868496F25R
DB00134	AE28F7PNPL
DB00134	ED857BWP29
DB00135	42HK56048U
DB00136	97SK7L66LH
DB00136	FXC9231JVH
DB00136	I1L29CLX3C
DB00136	IR1PLU81NA
DB00137	X72A60C9MT
DB00138	48TCX9A1VT
DB00138	KQY8R188E2
DB00138	KX1RHN0Y0B
DB00139	AB6MNQ6J6L
DB00139	AJ326AG789
DB00140	04SRR95RP8
DB00140	STP460337X
DB00140	TLM2976OFR
DB00140	U16E01V13F
DB00141	833755V695
DB00141	FPD5WTK4TS
DB00141	V956696549
DB00141	X80PR7P73R
DB00142	3KX376GY7L
DB00142	J0V4V954NI
DB00142	Q479989WEA
DB00143	GAN16C9B8O
DB00145	TE7660XO1C
DB00146	378HY809HV
DB00146	P6YZ13C99Q
DB00146	SN331791VY
DB00146	T0WXW8F54E
DB00147	1416KF0QBC
DB00147	3THM379K8A
DB00147	JJQ4DJV03Q
DB00148	MU72812GK0
