drugbank_id	hmdb_id
DB00007	HMDB0041916
DB00014	HMDB0014259
DB00035	HMDB0014260
DB00050	HMDB0014261
DB00104	HMDB0014262
DB00114	HMDB0001491
DB00115	HMDB0000608
DB00116	HMDB0001846
DB00116	HMDB0062806
DB00117	HMDB0000177
DB00118	HMDB0001185
DB00119	HMDB0000243
DB00120	HMDB0000159
DB00121	HMDB0000030
DB00122	HMDB0000097
DB00123	HMDB0000182
DB00123	HMDB0003405
DB00123	HMDB0062809
DB00123	HMDB0142894
DB00125	HMDB0000517
DB00125	HMDB0003416
DB00125	HMDB0062762
DB00126	HMDB0000044
DB00127	HMDB0001256
DB00128	HMDB0000191
DB00128	HMDB0006483
DB00128	HMDB0062186
DB00128	HMDB0062501
DB00129	HMDB0000214
DB00129	HMDB0003374
DB00130	HMDB0000641
DB00130	HMDB0003423
DB00131	HMDB0000045
DB00132	HMDB0001388
DB00132	HMDB0030964
DB00133	HMDB0000187
DB00133	HMDB0003406
DB00133	HMDB0062263
DB00134	HMDB0000696
DB00134	HMDB0033951
DB00135	HMDB0000158
DB00136	HMDB0001903
DB00137	HMDB0002198
DB00137	HMDB0002950
DB00137	HMDB0003233
DB00137	HMDB0003415
DB00137	HMDB0003451
DB00137	HMDB0112257
DB00138	HMDB0000192
DB00139	HMDB0000254
DB00140	HMDB0000244
DB00141	HMDB0062641
DB00142	HMDB0000148
DB00142	HMDB0003339
DB00142	HMDB0060475
DB00143	HMDB0000125
DB00143	HMDB0062697
DB00144	HMDB0014291
DB00145	HMDB0000123
DB00146	HMDB0003550
DB00146	HMDB0006721
DB00147	HMDB0001545
DB00148	HMDB0000064
DB00149	HMDB0000687
DB00149	HMDB0013773
DB00149	HMDB0062203
DB00150	HMDB0000929
DB00150	HMDB0013609
DB00150	HMDB0030396
DB00151	HMDB0000574
DB00151	HMDB0003417
DB00152	HMDB0000235
DB00153	HMDB0000900
DB00154	HMDB0002925
DB00155	HMDB0000904
DB00156	HMDB0000167
DB00156	HMDB0004041
DB00158	HMDB0000121
DB00159	HMDB0001999
DB00160	HMDB0000161
DB00160	HMDB0001310
DB00160	HMDB0062251
DB00161	HMDB0000883
DB00162	HMDB0000305
DB00162	HMDB0006216
DB00162	HMDB0006217
DB00162	HMDB0006221
DB00163	HMDB0001893
DB00165	HMDB0000239
DB00166	HMDB0001451
DB00166	HMDB0014312
DB00167	HMDB0000172
DB00167	HMDB0000557
DB00167	HMDB0033923
DB00169	HMDB0000876
DB00169	HMDB0006719
DB00170	HMDB0001892
DB00171	HMDB0000538
DB00172	HMDB0000162
DB00172	HMDB0003411
DB00173	HMDB0000034
DB00174	HMDB0000168
DB00174	HMDB0033780
DB00175	HMDB0005022
DB00176	HMDB0014322
DB00177	HMDB0014323
DB00178	HMDB0014324
DB00179	HMDB0014325
DB00180	HMDB0014326
DB00181	HMDB0014327
DB00182	HMDB0012128
DB00182	HMDB0014328
DB00182	HMDB0015516
DB00184	HMDB0001934
DB00185	HMDB0014331
DB00185	HMDB0061079
DB00185	HMDB0061080
DB00185	HMDB0061081
DB00186	HMDB0014332
DB00187	HMDB0014333
DB00188	HMDB0014334
DB00189	HMDB0014335
DB00190	HMDB0014336
DB00191	HMDB0014337
DB00192	HMDB0014338
DB00193	HMDB0014339
DB00194	HMDB0000050
DB00194	HMDB0014340
DB00195	HMDB0014341
DB00196	HMDB0014342
DB00198	HMDB0014343
DB00200	HMDB0001039
DB00200	HMDB0002111
DB00200	HMDB0002308
DB00201	HMDB0001847
DB00202	HMDB0014347
DB00203	HMDB0005039
DB00204	HMDB0014349
DB00205	HMDB0014350
DB00206	HMDB0014351
DB00207	HMDB0014352
DB00208	HMDB0014353
DB00209	HMDB0014354
DB00210	HMDB0014355
DB00211	HMDB0014356
DB00212	HMDB0014357
DB00213	HMDB0005017
DB00214	HMDB0014359
DB00215	HMDB0005028
DB00215	HMDB0005038
DB00216	HMDB0014361
DB00217	HMDB0014362
DB00218	HMDB0014363
