drugbank_id	lincs_id
DB00014	LSM-46023
DB00014	LSM-5104
DB00035	LSM-46024
DB00091	LSM-1703
DB00091	LSM-2280
DB00091	LSM-42817
DB00091	LSM-42829
DB00091	LSM-42883
DB00115	LSM-5024
DB00115	LSM-6408
DB00121	LSM-3994
DB00121	LSM-5727
DB00121	LSM-6430
DB00130	LSM-4741
DB00131	LSM-5914
DB00131	LSM-6386
DB00132	LSM-42939
DB00133	LSM-45895
DB00136	LSM-43088
DB00136	LSM-43157
DB00136	LSM-44626
DB00136	LSM-45950
DB00140	LSM-4084
DB00140	LSM-6648
DB00142	LSM-36375
DB00146	LSM-43234
DB00146	LSM-44630
DB00150	LSM-36836
DB00152	LSM-5996
DB00153	LSM-43313
DB00154	LSM-42904
DB00155	LSM-45926
DB00158	LSM-5355
DB00159	LSM-42964
DB00162	LSM-43173
DB00162	LSM-43174
DB00162	LSM-5317
DB00163	LSM-4487
DB00165	LSM-5324
DB00166	LSM-45889
DB00170	LSM-3755
DB00175	LSM-1760
DB00175	LSM-3347
DB00175	LSM-45836
DB00175	LSM-4966
DB00175	LSM-5402
DB00176	LSM-3625
DB00177	LSM-2993
DB00177	LSM-4977
DB00178	LSM-1717
DB00178	LSM-5228
DB00178	LSM-5950
DB00179	LSM-6507
DB00180	LSM-1711
DB00180	LSM-3089
DB00180	LSM-5356
DB00181	LSM-5169
DB00184	LSM-2093
DB00186	LSM-4970
DB00187	LSM-4957
DB00188	LSM-6281
DB00190	LSM-5128
DB00190	LSM-5850
DB00191	LSM-4174
DB00193	LSM-3125
DB00193	LSM-5221
DB00194	LSM-28568
DB00194	LSM-4491
DB00194	LSM-5800
DB00194	LSM-6461
DB00195	LSM-1255
DB00196	LSM-2106
DB00197	LSM-4890
DB00199	LSM-3416
DB00199	LSM-6532
DB00201	LSM-2026
DB00203	LSM-3797
DB00204	LSM-5925
DB00205	LSM-3967
DB00206	LSM-1758
DB00206	LSM-2816
DB00206	LSM-4162
DB00206	LSM-5557
DB00207	LSM-5821
DB00208	LSM-1986
DB00210	LSM-37048
DB00211	LSM-1815
DB00213	LSM-1390
DB00214	LSM-2662
DB00215	LSM-1585
DB00215	LSM-3569
DB00218	LSM-5746
DB00219	LSM-4974
DB00220	LSM-5702
DB00220	LSM-5819
DB00221	LSM-4374
DB00222	LSM-2760
DB00222	LSM-44957
DB00223	LSM-1241
DB00223	LSM-3369
DB00223	LSM-5872
DB00224	LSM-5471
DB00226	LSM-43257
DB00227	LSM-2189
DB00227	LSM-5348
DB00227	LSM-6486
DB00229	LSM-2022
DB00229	LSM-5376
DB00231	LSM-45470
DB00233	LSM-5862
DB00234	LSM-1561
DB00234	LSM-37047
DB00234	LSM-5462
DB00235	LSM-3493
DB00238	LSM-5336
DB00239	LSM-5389
DB00241	LSM-5793
DB00242	LSM-21600
DB00242	LSM-5976
DB00243	LSM-1952
DB00244	LSM-5427
DB00245	LSM-5012
DB00245	LSM-5764
DB00246	LSM-5433
DB00247	LSM-1964
DB00247	LSM-2786
DB00248	LSM-1692
DB00248	LSM-3939
DB00249	LSM-45784
DB00249	LSM-5836
DB00249	LSM-6409
DB00250	LSM-5714
DB00251	LSM-3923
DB00251	LSM-6538
DB00252	LSM-5663
DB00253	LSM-1378
DB00253	LSM-3259
DB00253	LSM-5315
DB00255	LSM-3001
DB00255	LSM-42960
DB00257	LSM-5341
DB00259	LSM-6524
DB00260	LSM-5639
DB00260	LSM-5932
DB00262	LSM-6584
DB00263	LSM-3120
DB00264	LSM-1259
DB00265	LSM-3274
DB00265	LSM-42989
DB00266	LSM-45761
DB00268	LSM-2351
DB00269	LSM-5411
DB00270	LSM-1897
DB00272	LSM-5366
DB00273	LSM-5435
DB00274	LSM-5594
DB00275	LSM-5893
DB00276	LSM-45972
DB00277	LSM-6010
DB00278	LSM-45272
DB00278	LSM-5061
DB00279	LSM-1780
DB00279	LSM-3991
DB00280	LSM-1439
DB00281	LSM-3165
DB00283	LSM-2655
DB00285	LSM-1616
DB00287	LSM-45593
DB00288	LSM-1487
DB00288	LSM-4981
DB00288	LSM-5564
DB00289	LSM-2452
DB00291	LSM-2645
DB00292	LSM-1640
DB00292	LSM-37126
DB00292	LSM-6599
DB00293	LSM-5952
DB00296	LSM-5619
DB00297	LSM-4301
DB00299	LSM-5587
DB00301	LSM-1327
DB00301	LSM-5094
DB00302	LSM-5332
DB00305	LSM-1590
DB00305	LSM-5621
DB00305	LSM-6310
DB00307	LSM-45378
DB00308	LSM-43264
DB00309	LSM-5693
DB00310	LSM-1417
DB00311	LSM-18787
DB00312	LSM-1566
DB00313	LSM-4620
DB00316	LSM-5533
DB00317	LSM-1098
DB00319	LSM-5516
DB00319	LSM-5924
DB00320	LSM-1639
DB00320	LSM-3619
DB00320	LSM-44964
DB00321	LSM-3190
DB00322	LSM-45624
DB00322	LSM-5157
DB00322	LSM-5588
DB00323	LSM-5282
DB00324	LSM-1325
DB00324	LSM-25624
DB00324	LSM-5306
DB00328	LSM-3275
DB00330	LSM-5137
DB00330	LSM-5649
DB00331	LSM-4730
DB00332	LSM-1268
DB00332	LSM-1281
DB00332	LSM-1497
DB00332	LSM-45290
DB00332	LSM-46035
DB00334	LSM-5359
DB00335	LSM-4355
DB00335	LSM-5562
DB00335	LSM-5757
DB00336	LSM-3779
DB00337	LSM-45937
DB00339	LSM-5425
DB00340	LSM-1467
DB00341	LSM-1544
DB00341	LSM-5412
DB00342	LSM-1273
DB00343	LSM-1744
DB00343	LSM-2523
DB00343	LSM-3819
DB00344	LSM-2936
DB00345	LSM-5739
DB00346	LSM-1291
DB00347	LSM-5345
DB00350	LSM-2134
DB00351	LSM-1486
DB00351	LSM-2441
DB00351	LSM-5299
DB00351	LSM-5699
DB00352	LSM-6723
DB00353	LSM-1695
DB00353	LSM-2758
DB00355	LSM-5301
DB00356	LSM-6011
DB00357	LSM-1409
DB00358	LSM-5180
DB00358	LSM-5525
DB00359	LSM-5457
DB00360	LSM-5120
DB00361	LSM-5284
DB00361	LSM-6007
DB00361	LSM-6302
DB00362	LSM-45534
DB00363	LSM-2823
DB00366	LSM-1563
DB00367	LSM-1612
DB00367	LSM-2768
DB00367	LSM-45699
DB00367	LSM-5824
DB00367	LSM-5955
DB00368	LSM-37072
DB00368	LSM-5181
DB00370	LSM-1706
DB00370	LSM-5894
DB00372	LSM-3556
DB00373	LSM-15524
DB00373	LSM-2176
DB00373	LSM-4397
DB00374	LSM-45331
DB00376	LSM-5060
DB00377	LSM-5266
DB00378	LSM-3538
DB00378	LSM-5289
DB00379	LSM-1700
DB00380	LSM-5248
DB00381	LSM-1388
DB00382	LSM-5871
DB00384	LSM-4060
DB00385	LSM-45887
DB00387	LSM-4396
DB00388	LSM-15380
DB00389	LSM-5930
DB00390	LSM-1930
DB00390	LSM-2511
DB00390	LSM-5141
DB00390	LSM-5523
DB00391	LSM-5080
DB00391	LSM-5624
DB00392	LSM-1342
DB00393	LSM-1659
DB00394	LSM-4209
DB00394	LSM-45855
DB00394	LSM-5838
DB00395	LSM-5197
DB00396	LSM-1728
DB00396	LSM-3452
DB00396	LSM-5580
DB00397	LSM-5416
DB00398	LSM-1008
DB00400	LSM-45713
DB00400	LSM-5259
DB00401	LSM-5172
DB00402	LSM-4408
DB00404	LSM-5460
DB00405	LSM-1736
DB00405	LSM-5386
DB00408	LSM-2881
DB00409	LSM-3202
DB00410	LSM-43176
DB00411	LSM-5827
DB00412	LSM-1949
DB00413	LSM-5243
DB00414	LSM-5638
DB00415	LSM-4982
DB00415	LSM-5761
DB00417	LSM-45211
DB00417	LSM-45657
DB00417	LSM-46163
DB00417	LSM-5173
DB00419	LSM-45962
DB00420	LSM-2137
DB00421	LSM-4018
DB00421	LSM-45441
DB00421	LSM-5755
DB00421	LSM-6489
DB00423	LSM-1453
DB00425	LSM-5560
DB00426	LSM-2990
DB00427	LSM-2240
DB00427	LSM-42877
DB00428	LSM-5014
DB00428	LSM-5479
DB00428	LSM-6395
DB00432	LSM-5217
DB00432	LSM-6478
DB00433	LSM-2436
DB00434	LSM-5419
DB00436	LSM-1816
DB00437	LSM-5919
DB00438	LSM-44989
DB00438	LSM-5695
DB00439	LSM-43237
DB00440	LSM-5246
DB00441	LSM-5333
DB00442	LSM-5258
DB00443	LSM-1248
DB00443	LSM-1303
DB00443	LSM-2864
DB00443	LSM-4412
DB00443	LSM-4466
