drugbank_id	lipidmaps_id
DB00091	LMPK14000003
DB00119	LMFA01060077
DB00129	LMFA01100057
DB00132	LMFA01030152
DB00132	LMFA01030153
DB00132	LMFA01030348
DB00132	LMFA01030349
DB00132	LMFA01030350
DB00132	LMFA01030351
DB00132	LMFA01030352
DB00132	LMFA01030353
DB00133	LMFA01100045
DB00136	LMST03020258
DB00136	LMST03020259
DB00136	LMST03020260
DB00136	LMST03020262
DB00136	LMST03020265
DB00136	LMST03020266
DB00136	LMST03020267
DB00137	LMPR01070029
DB00137	LMPR01070030
DB00137	LMPR01070031
DB00137	LMPR01070043
DB00137	LMPR01070274
DB00139	LMFA01170043
DB00146	LMST03020246
DB00146	LMST03020247
DB00146	LMST03020646
DB00146	LMST03020655
DB00146	LMST03030005
DB00149	LMFA01100048
DB00153	LMST03010001
DB00153	LMST03010014
DB00154	LMFA01030158
DB00159	LMFA01030759
DB00159	LMFA01031116
DB00159	LMFA01031117
DB00161	LMFA01100046
DB00162	LMPR01090001
DB00162	LMPR01090005
DB00162	LMPR01090009
DB00162	LMPR01090011
DB00163	LMPR02020001
DB00166	LMFA01130001
DB00167	LMFA01100047
DB00169	LMST03020001
DB00169	LMST03020219
DB00169	LMST03020220
DB00169	LMST03020221
DB00169	LMST03020648
DB00175	LMFA05000695
DB00199	LMPK04000006
DB00207	LMPK04000013
DB00254	LMPK07000001
DB00258	LMFA01010002
DB00260	LMPK14000007
DB00290	LMPK14000006
DB00304	LMST02030104
DB00313	LMFA01020291
DB00351	LMST02030118
DB00367	LMST02030119
DB00390	LMST01120023
DB00396	LMST02030159
DB00400	LMPK13060001
DB00429	LMFA03010080
DB00429	LMFA03010121
DB00445	LMPK13050001
DB00466	LMPR0103540001
DB00512	LMPK14000004
DB00513	LMFA01100035
DB00523	LMPR01090019
DB00523	LMPR01090021
DB00523	LMPR01090022
DB00523	LMPR01090023
DB00523	LMPR01090024
DB00548	LMFA01170054
DB00595	LMPK07000005
DB00624	LMST02020002
DB00624	LMST02020051
DB00632	LMFA05000008
DB00635	LMST02030180
DB00646	LMPK06000004
DB00655	LMST02010004
DB00655	LMST02010021
DB00681	LMPK06000002
DB00687	LMST02030103
DB00694	LMPK13050002
DB00717	LMST02030097
DB00741	LMST02030001
DB00746	LMFA08020169
DB00746	LMFA08020175
DB00755	LMPR01090019
DB00755	LMPR01090021
DB00755	LMPR01090022
DB00755	LMPR01090023
DB00755	LMPR01090024
DB00770	LMFA03010055
DB00770	LMFA03010106
DB00770	LMFA03010134
DB00770	LMFA03110002
DB00783	LMST02010001
DB00783	LMST02010013
DB00783	LMST02010029
DB00823	LMST02030124
DB00825	LMPR0102090001
DB00825	LMPR0102090003
DB00825	LMPR0102090057
DB00855	LMFA01100055
DB00860	LMST02030179
DB00864	LMPK04000003
DB00877	LMPK06000003
DB00894	LMST02020084
DB00910	LMST04030163
DB00917	LMFA03010003
DB00917	LMFA03010060
DB00917	LMFA03010094
DB00917	LMFA03010148
DB00917	LMFA03110003
DB00917	LMFA03110106
DB00917	LMFA03110115
DB00917	LMFA03110116
DB00917	LMFA03110117
DB00917	LMFA03110120
DB00917	LMFA03110121
DB00917	LMFA03110122
DB00917	LMFA03110124
DB00917	LMFA03110125
DB00917	LMFA03110126
DB00917	LMFA03110127
DB00926	LMPR01090046
DB00959	LMST02030158
DB00959	LMST02030178
DB00970	LMPK14000005
DB00977	LMST02010036
DB00982	LMPR01090019
DB00982	LMPR01090021
DB00982	LMPR01090022
DB00982	LMPR01090023
DB00982	LMPR01090024
DB00997	LMPK13050001
DB01022	LMPR02030028
DB01034	LMFA08010013
DB01070	LMST03010056
DB01070	LMST03010057
DB01092	LMST01120022
DB01094	LMPK12140003
DB01160	LMFA03010002
DB01160	LMFA03010025
DB01160	LMFA03010036
DB01160	LMFA03010041
DB01160	LMFA03010077
DB01160	LMFA03110001
DB01160	LMFA03110006
DB01160	LMFA03110026
DB01160	LMFA03110027
DB01160	LMFA03110028
DB01160	LMFA03110029
DB01160	LMFA03110030
DB01160	LMFA03110031
DB01160	LMFA03110032
DB01160	LMFA03110108
DB01160	LMFA03110109
DB01160	LMFA03110110
DB01160	LMFA03110111
DB01160	LMFA03110112
DB01160	LMFA03110113
DB01185	LMST02020025
DB01196	LMST02010038
DB01211	LMPK04000014
DB01229	LMPR0104390001
DB01240	LMFA03010087
DB01375	LMFA01010018
DB01380	LMST02030120
DB01396	LMST01120018
DB01420	LMST02020076
DB01431	LMST02030125
DB01436	LMST03020231
DB01436	LMST03020232
DB01436	LMST03020233
DB01436	LMST03020234
DB01436	LMST03020235
DB01436	LMST03020236
DB01436	LMST03020237
DB01436	LMST03020238
DB01436	LMST03020661
DB01440	LMFA01050006
DB01455	LMST02010050
DB01471	LMST02020010
DB01471	LMST02020017
DB01481	LMST02020110
DB01485	LMST02020102
DB01521	LMST02020019
DB01524	LMST02020005
DB01526	LMST02020105
DB01530	LMST02020052
DB01530	LMST02020053
DB01530	LMST02020077
DB01530	LMST02020078
DB01530	LMST02020080
DB01530	LMST02020093
DB01530	LMST02020096
DB01536	LMST02020007
DB01541	LMST02020018
DB01561	LMST02020058
DB01561	LMST02020085
DB01564	LMST02020010
DB01564	LMST02020017
DB01569	LMST02020026
DB01586	LMST04010032
DB01586	LMST04010033
DB01586	LMST04010034
DB01586	LMST04010035
DB01586	LMST04010036
DB01586	LMST04010037
DB01586	LMST04010038
DB01586	LMST04010039
DB01631	LMFA07010963
DB01637	LMPR0104010006
DB01637	LMPR0104010026
DB01645	LMPK12050218
DB01675	LMFA07050350
DB01698	LMPK12112050
DB01698	LMPK12112098
DB01707	LMGP01050009
DB01708	LMST02020021
DB01708	LMST02020103
DB01715	LMFA01100062
DB01728	LMGP02010037
DB01739	LMFA01100047
DB01744	LMPR0102120001
DB01746	LMFA01100048
DB01762	LMFA01060003
DB01785	LMPR01010001
DB01852	LMPK12110003
DB01856	LMFA01170051
DB01873	LMPK04000001
DB01889	LMST02020008
DB01919	LMFA06000251
DB01966	LMGP02010097
DB01990	LMST05020016
DB02043	LMGP04010986
DB02056	LMFA03010004
DB02056	LMFA03010102
DB02056	LMFA03110092
DB02056	LMFA03110093
DB02056	LMFA03110094
DB02056	LMFA03110095
DB02056	LMFA03110096
DB02056	LMFA03110097
DB02056	LMFA03110098
DB02056	LMFA03110099
DB02056	LMFA03110107
DB02056	LMFA03110128
DB02056	LMFA03110129
DB02056	LMFA03110130
DB02056	LMFA03110131
DB02056	LMFA03110132
DB02068	LMFA01100040
DB02074	LMFA01030194
DB02074	LMFA01030195
DB02074	LMFA01030925
DB02092	LMST01020008
DB02115	LMPK12050013
DB02121	LMFA08010018
DB02123	LMST05030003
DB02123	LMST05030008
DB02123	LMST05030016
DB02144	LMGP06010001
DB02145	LMFA05000109
DB02175	LMFA01170041
DB02176	LMFA01010002
DB02180	LMFA07050352
DB02187	LMST02010026
DB02196	LMSL01010002
DB02198	LMFA01090074
DB02201	LMFA01170041
DB02238	LMFA01060170
DB02239	LMFA01060006
DB02261	LMGP01020046
DB02274	LMFA01060168
DB02296	LMFA05000108
DB02300	LMST03020105
DB02300	LMST03020106
DB02300	LMST03020107
DB02300	LMST03020108
DB02304	LMFA03010018
DB02306	LMGP01010592
DB02306	LMGP01010594
DB02342	LMST02010035
DB02375	LMPK12110001
DB02399	LMFA05000598
DB02405	LMFA01090007
DB02406	LMFA01010005
DB02448	LMFA01010013
DB02509	LMPR0103010001
DB02509	LMPR0103010006
DB02509	LMPR0103010008
DB02509	LMPR0103010013
DB02513	LMPR0102090029
DB02516	LMFA07050150
DB02516	LMFA07050162
DB02516	LMFA07050341
DB02530	LMFA01100039
DB02531	LMFA01020071
DB02552	LMPR0102010001
DB02552	LMPR0102010002
DB02563	LMFA07050328
DB02579	LMFA01030193
DB02587	LMPR0104030004
DB02637	LMFA01170120
DB02640	LMPR0103060003
DB02659	LMST04010001
DB02659	LMST04010085
DB02659	LMST04010086
DB02659	LMST04010087
DB02659	LMST04010088
DB02659	LMST04010089
DB02659	LMST04010090
DB02659	LMST04010091
DB02659	LMST04010092
DB02659	LMST04010093
DB02659	LMST04010094
DB02659	LMST04010095
DB02659	LMST04010096
DB02659	LMST04010097
DB02659	LMST04010098
DB02659	LMST04010099
DB02691	LMST05030001
DB02691	LMST05030007
DB02703	LMPR0106040001
DB02709	LMPK13090005
DB02767	LMFA01050175
DB02767	LMFA01050322
DB02767	LMFA01050323
DB02777	LMGP01010429
DB02788	LMFA12000020
DB02788	LMFA12000064
DB02789	LMST02030088
DB02817	LMPR0102120048
DB02854	LMST02020001
DB02854	LMST02020023
DB02854	LMST02020059
DB02854	LMST02020104
DB02901	LMST02020042
DB02901	LMST02020069
DB02910	LMFA07050355
DB02912	LMFA07050364
DB02924	LMPR0102090015
DB02924	LMPR0102090048
DB02938	LMFA01010007
DB02952	LMFA01100053
DB02955	LMFA02000150
DB02955	LMFA02000184
DB02955	LMFA02000212
DB02955	LMFA02000213
DB02955	LMFA02000214
DB02955	LMFA02000354
DB02982	LMFA05000007
DB02982	LMFA05000196
DB03001	LMPR01070007
DB03007	LMFA02010001
DB03010	LMPK04000041
DB03017	LMFA01010012
DB03025	LMFA01050367
DB03025	LMFA05000090
DB03025	LMFA05000093
DB03025	LMFA05000712
DB03059	LMFA07050030
DB03143	LMFA05000092
DB03166	LMFA01010002
DB03169	LMFA07050116
DB03169	LMFA07050209
DB03170	LMFA07050315
DB03175	LMFA05000101
DB03193	LMFA01010018
DB03203	LMSP01010001
DB03264	LMFA07050340
DB03285	LMPK12120096
DB03320	LMFA01100051
DB03381	LMFA06000088
DB03397	LMSL01010002
DB03415	LMFA07050258
DB03429	LMGP12010266
DB03432	LMFA01100049
DB03432	LMFA01100050
