drugbank_id	drugbank_name	chembl	drugbank	pdb	iuphar	pubchem_dotf	kegg_ligand	chebi	nih_ncc	zinc	emolecules	ibm	atlas	ibm_patents	fdasrs	surechembl	pharmgkb	hmdb	selleck	pubchem_tpharma	pubchem	mcule	nmrshiftdb2	lincs	actor	recon	molport	nikkaji	bindingdb	comptox	lipidmaps	drugcentral	carotenoiddb	metabolights	brenda	rhea	chemicalbook	dailymed	swisslipids	dailymed_new	clinicaltrials
DB00006	Bivalirudin	2	1	0	1	0	0	1	0	0	2	1	0	0	0	9	1	0	0	2	23	0	0	0	1	0	2	1	0	1	0	1	0	0	3	0	1	1	0	1	6
DB00007	Leuprolide	5	1	0	1	1	1	2	0	0	5	4	0	0	3	65	1	1	0	16	107	0	0	0	1	0	5	4	2	2	0	1	0	0	0	0	2	2	0	2	19
DB00014	Goserelin	4	1	0	1	1	0	2	1	0	2	4	0	0	2	53	1	1	0	4	69	0	0	2	2	0	4	2	0	2	0	1	0	0	0	0	2	2	0	2	6
DB00027	Gramicidin D	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DB00035	Desmopressin	6	1	0	2	0	1	2	0	0	7	5	0	0	4	28	1	1	0	4	55	0	0	1	5	0	5	3	3	2	0	1	0	0	0	0	2	2	0	2	9
DB00050	Cetrorelix	4	1	0	1	1	0	2	0	0	2	1	0	0	6	20	1	1	0	11	43	0	0	0	3	0	3	1	1	2	0	1	0	0	0	0	3	2	0	2	6
DB00080	Daptomycin	3	1	0	0	1	1	1	0	0	6	6	0	0	1	29	1	0	1	5	51	0	0	0	1	0	4	1	0	1	0	1	0	1	0	0	1	1	0	1	5
DB00091	Cyclosporine	7	1	0	1	1	1	3	0	0	12	17	3	0	2	39	1	0	2	14	95	2	0	5	3	0	11	3	5	1	1	1	0	1	7	0	1	1	0	1	15
DB00093	Felypressin	2	1	0	0	0	0	1	0	0	1	2	0	0	0	8	1	0	0	2	13	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	2
DB00104	Octreotide	8	1	0	1	1	1	1	0	0	5	3	0	0	4	91	1	1	0	22	148	0	0	0	1	0	5	2	3	1	0	1	0	0	1	0	2	2	0	2	15
DB00106	Abarelix	1	1	0	1	1	0	1	0	0	0	2	0	0	0	8	1	0	0	3	10	0	0	0	1	0	2	1	1	1	0	1	0	0	0	0	1	0	0	0	5
DB00114	Pyridoxal phosphate	5	1	1	1	1	1	2	0	1	3	1	0	0	9	40	1	1	0	12	70	1	0	0	12	1	2	6	1	4	0	1	0	2	8	1	3	1	0	1	2
DB00115	Cyanocobalamin	0	2	1	0	0	1	3	0	0	3	0	0	0	4	5	0	1	1	12	24	1	0	2	3	0	3	2	1	5	0	0	0	0	9	2	2	0	0	0	0
DB00116	Tetrahydrofolic acid	2	2	2	1	0	1	4	0	4	5	7	0	0	0	67	1	2	0	25	104	0	0	0	1	1	4	9	2	1	0	0	0	4	26	1	1	0	0	0	0
DB00117	Histidine	2	1	2	4	0	3	14	0	2	7	6	0	0	1	10	1	1	0	18	73	4	2	0	7	1	6	21	3	3	0	1	0	14	15	2	3	1	0	1	4
DB00118	Ademetionine	7	1	1	1	1	1	7	0	11	9	0	0	0	5	65	1	1	0	115	281	2	0	0	7	1	8	10	3	6	0	1	0	7	14	3	3	0	0	0	4
DB00119	Pyruvic acid	1	1	1	1	0	1	2	0	1	2	9	0	0	6	6	1	1	0	9	26	1	1	0	3	1	1	14	2	4	1	0	0	2	9	1	1	0	0	0	0
DB00120	Phenylalanine	3	2	2	2	0	3	12	0	2	11	10	0	0	4	27	1	1	0	27	109	4	1	0	6	1	4	40	2	14	0	1	0	11	15	2	5	1	0	1	2
DB00121	Biotin	5	2	2	1	0	1	4	0	7	9	20	0	0	1	16	1	1	1	7	43	2	2	3	3	1	3	4	1	2	0	1	0	2	4	1	2	1	0	1	2
DB00122	Choline	1	3	1	1	0	1	2	0	1	1	3	0	0	3	7	1	1	0	0	31	1	1	0	2	1	1	6	1	2	0	2	0	1	2	1	2	0	0	0	0
DB00123	L-Lysine	3	2	2	2	0	3	14	0	2	3	21	0	0	2	32	1	4	0	12	109	4	4	0	10	1	3	30	3	3	0	1	0	13	21	2	3	1	0	1	1
DB00125	Arginine	2	2	3	2	0	3	12	0	2	4	20	0	0	2	20	1	3	0	13	83	3	4	0	10	2	6	14	2	5	0	1	0	12	17	2	3	1	0	1	2
DB00126	Ascorbic acid	4	1	2	3	1	1	5	0	4	7	4	0	0	3	13	0	1	1	8	34	2	2	0	4	1	5	14	0	4	0	1	0	2	23	1	2	1	0	1	4
DB00127	Spermine	3	1	3	1	0	1	2	0	1	5	1	0	0	3	117	1	1	0	12	155	2	0	0	9	1	3	4	1	7	0	0	0	2	4	1	3	0	0	0	0
DB00128	Aspartic acid	2	2	3	4	0	3	9	0	2	12	13	0	0	2	12	1	4	0	16	76	5	3	0	7	2	4	14	2	14	0	1	0	9	24	2	4	1	0	1	2
DB00129	Ornithine	3	1	2	2	0	3	10	0	2	3	7	0	0	2	7	1	2	0	6	39	3	1	0	6	2	3	4	0	2	1	1	0	10	15	2	2	1	0	1	2
DB00130	L-Glutamine	2	2	2	3	0	3	11	0	2	10	12	1	0	4	17	1	2	2	5	55	3	1	1	6	1	4	15	3	7	0	1	0	11	15	2	4	1	0	1	5
DB00131	Adenosine phosphate	4	1	6	1	1	1	4	0	16	6	9	1	0	2	15	1	1	0	5	44	3	1	2	9	1	4	4	5	2	0	1	0	3	29	1	1	1	0	1	5
DB00132	alpha-Linolenic acid	4	1	1	1	0	1	3	0	6	3	2	0	0	3	169	1	2	0	22	233	1	0	1	19	1	2	22	2	3	8	1	0	2	14	1	2	0	1	0	2
DB00133	Serine	2	2	2	2	0	3	12	0	2	8	11	1	0	2	13	1	3	0	11	69	5	1	1	6	2	5	28	2	7	1	1	0	12	13	2	3	1	0	1	2
DB00134	Methionine	5	3	2	1	1	3	12	0	2	9	13	1	0	3	11	1	2	0	13	80	4	1	0	11	1	3	25	2	8	0	1	0	12	13	3	3	2	0	2	4
DB00135	Tyrosine	3	2	2	1	0	3	14	0	2	10	8	0	0	1	12	1	1	0	45	140	5	1	0	9	1	4	33	2	16	0	1	0	14	14	2	3	1	0	1	2
DB00136	Calcitriol	13	1	2	1	1	1	3	1	53	15	31	2	0	4	93	1	1	1	61	282	0	0	4	4	1	8	22	3	5	7	1	0	1	17	1	3	1	1	1	6
DB00137	Lutein	4	1	1	0	0	1	1	0	39	6	11	0	0	1	46	1	6	0	20	105	0	0	0	2	0	1	19	0	1	5	1	6	1	1	1	1	0	0	0	0
DB00138	Cystine	2	1	0	1	0	2	7	0	3	7	7	0	0	3	8	1	1	0	6	30	4	1	0	4	1	6	7	1	3	0	1	0	7	6	1	3	1	0	1	2
DB00139	Succinic acid	1	1	1	1	0	1	4	0	1	4	10	0	0	2	10	0	1	0	3	23	1	2	0	2	1	1	11	1	8	1	1	0	3	6	1	1	1	1	1	1
DB00140	Riboflavin	3	1	1	1	1	1	3	0	9	7	7	0	0	4	134	1	1	1	27	177	3	2	2	6	1	3	11	1	3	0	1	0	2	8	1	1	1	0	1	1
DB00141	N-Acetylglucosamine	1	2	1	0	0	0	2	0	13	7	15	0	0	4	104	0	1	0	4	140	2	0	0	3	0	5	10	0	5	0	0	0	2	0	1	3	0	0	0	0
DB00142	Glutamic acid	2	2	4	2	0	3	10	0	2	9	21	0	0	3	29	1	3	0	16	102	3	1	1	8	1	4	33	5	11	0	1	0	9	21	2	4	1	0	1	3
DB00143	Glutathione	3	1	1	1	0	2	2	0	4	4	8	1	0	1	9	0	2	0	10	32	3	0	0	1	1	3	8	1	2	0	1	0	2	20	1	1	1	0	1	3
DB00144	Phosphatidyl serine	0	1	0	1	0	0	0	0	2	0	2	0	0	0	1	1	1	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
DB00145	Glycine	1	1	1	3	0	1	5	0	1	9	22	0	0	1	9	1	1	0	10	49	1	1	0	7	1	2	20	1	10	0	1	0	5	8	1	3	1	0	1	1
DB00146	Calcifediol	5	1	1	1	0	1	4	0	25	7	11	0	0	4	46	1	2	1	20	142	0	0	2	3	1	10	10	0	4	5	1	0	1	5	1	3	1	1	1	5
DB00147	Pyridoxal	2	1	1	0	0	1	3	0	1	4	1	0	0	3	64	1	1	0	7	75	2	0	0	4	1	3	1	1	2	0	1	0	3	4	1	1	0	0	0	0
DB00148	Creatine	1	1	1	1	0	1	3	0	1	1	6	1	0	1	2	1	1	0	2	10	1	0	0	1	1	1	1	1	1	0	1	0	3	1	1	1	0	0	0	0
DB00149	Leucine	3	2	2	1	0	3	11	0	2	7	14	0	0	4	25	1	3	0	29	129	4	2	0	14	1	4	31	1	16	1	1	0	11	20	2	3	1	0	1	2
DB00150	Tryptophan	3	2	2	2	1	3	12	0	2	8	10	0	0	2	24	1	3	0	15	95	5	2	1	4	1	3	31	3	7	0	1	0	12	11	2	3	1	0	1	2
DB00151	Cysteine	3	2	2	2	0	3	15	0	2	6	11	1	0	2	9	1	2	0	7	59	4	2	0	7	1	4	25	3	6	0	1	0	15	10	2	4	0	0	1	3
DB00152	Thiamine	1	1	1	2	0	1	2	0	1	1	1	0	0	1	1	1	1	0	0	7	1	0	1	0	1	0	4	1	1	0	1	0	2	2	1	0	0	0	1	5
DB00153	Ergocalciferol	7	1	1	0	0	1	2	0	61	10	15	0	0	1	45	1	1	1	10	154	2	0	1	5	1	10	3	1	2	2	1	0	1	3	1	1	1	1	1	6
DB00154	Dihomo-gamma-linolenic acid	2	1	1	1	0	1	2	0	6	2	1	0	0	2	12	1	1	0	7	24	0	0	1	2	3	1	4	1	0	1	0	0	2	14	1	0	0	1	0	0
DB00155	Citrulline	1	1	1	2	0	1	5	0	2	5	3	0	0	3	182	1	1	0	26	213	3	1	1	4	1	4	6	1	2	0	1	0	5	11	1	5	0	0	0	0
DB00156	Threonine	7	2	4	1	0	4	13	0	4	8	15	0	0	3	22	1	2	0	12	64	4	1	0	11	1	6	12	0	7	0	1	0	13	21	4	7	1	0	1	2
DB00158	Folic acid	2	1	1	2	1	1	2	1	2	11	4	0	0	1	5	1	1	0	10	28	2	3	1	3	1	8	7	2	5	0	1	0	2	18	1	1	1	0	1	3
DB00159	Icosapent	2	1	1	1	0	1	3	0	8	5	1	1	0	4	56	1	1	0	52	155	0	0	1	3	2	2	8	1	1	3	1	0	2	8	1	0	1	1	1	4
