drugbank_id	mcule_id
DB00091	MCULE-4462773662
DB00091	MCULE-6712278682
DB00114	MCULE-8936350631
DB00115	MCULE-4810176105
DB00117	MCULE-2877373266
DB00117	MCULE-4083000888
DB00117	MCULE-6787534916
DB00117	MCULE-9609124805
DB00118	MCULE-1541732906
DB00118	MCULE-3234801713
DB00119	MCULE-8587144313
DB00120	MCULE-2197316791
DB00120	MCULE-4249753593
DB00120	MCULE-4509365715
DB00120	MCULE-5960921520
DB00121	MCULE-6549466078
DB00121	MCULE-7440963355
DB00122	MCULE-7712564949
DB00123	MCULE-1814780282
DB00123	MCULE-3226089160
DB00123	MCULE-6537319758
DB00123	MCULE-7646209988
DB00125	MCULE-1290049418
DB00125	MCULE-3125760737
DB00125	MCULE-5108123240
DB00126	MCULE-1000777876
DB00126	MCULE-2354296394
DB00127	MCULE-4079516211
DB00127	MCULE-4500869266
DB00128	MCULE-3710241722
DB00128	MCULE-6700641640
DB00128	MCULE-7899824165
DB00128	MCULE-8102700760
DB00128	MCULE-9328817309
DB00129	MCULE-1970642620
DB00129	MCULE-2602820298
DB00129	MCULE-3029872280
DB00130	MCULE-1418655814
DB00130	MCULE-7870225738
DB00130	MCULE-8718820108
DB00131	MCULE-3551661109
DB00131	MCULE-7703149050
DB00131	MCULE-9880664480
DB00132	MCULE-8042162865
DB00133	MCULE-3271603208
DB00133	MCULE-5604658333
DB00133	MCULE-6118038121
DB00133	MCULE-6460387318
DB00133	MCULE-8560981570
DB00134	MCULE-3383932641
DB00134	MCULE-5626142345
DB00134	MCULE-7228063662
DB00134	MCULE-9944164883
DB00135	MCULE-1694199256
DB00135	MCULE-2932088896
DB00135	MCULE-6003337645
DB00135	MCULE-7719741497
DB00135	MCULE-8059108702
DB00138	MCULE-1862736447
DB00138	MCULE-2293704247
DB00138	MCULE-5527321865
DB00138	MCULE-8581541377
DB00139	MCULE-5889111640
DB00140	MCULE-3504953648
DB00140	MCULE-5620064525
DB00140	MCULE-6002277168
DB00141	MCULE-1412635151
DB00141	MCULE-5498302807
DB00142	MCULE-4203507491
DB00142	MCULE-7782530856
DB00142	MCULE-9447720868
DB00143	MCULE-3140368073
DB00143	MCULE-3371744018
DB00143	MCULE-9257720320
DB00145	MCULE-2415764032
DB00147	MCULE-3872885941
DB00147	MCULE-8283890626
DB00148	MCULE-3625061513
DB00149	MCULE-3041792060
DB00149	MCULE-4930237913
DB00149	MCULE-7657212416
DB00149	MCULE-8280206722
DB00150	MCULE-3721322622
DB00150	MCULE-4102614655
DB00150	MCULE-5675773208
DB00150	MCULE-8004234494
DB00150	MCULE-9808999085
DB00151	MCULE-1666411258
DB00151	MCULE-1896679526
DB00151	MCULE-6337217524
DB00151	MCULE-9147562606
DB00152	MCULE-2198445125
DB00153	MCULE-6975405195
DB00153	MCULE-7087103660
DB00155	MCULE-4737953293
DB00155	MCULE-7003128917
DB00155	MCULE-9892421890
DB00156	MCULE-1563595722
DB00156	MCULE-5505393195
DB00156	MCULE-9284411012
DB00156	MCULE-9531951265
DB00158	MCULE-1208976029
DB00158	MCULE-3509109723
DB00160	MCULE-3571488623
DB00160	MCULE-4751903561
DB00160	MCULE-4916719758
DB00160	MCULE-7791919887
DB00160	MCULE-9756365751
DB00161	MCULE-2507309072
DB00161	MCULE-9143825935
DB00161	MCULE-9199801639
DB00162	MCULE-4951251283
DB00162	MCULE-6524977881
DB00163	MCULE-3684036705
DB00163	MCULE-4241435740
DB00163	MCULE-4717974470
DB00165	MCULE-7725975962
DB00166	MCULE-1034910084
DB00166	MCULE-3939318333
DB00166	MCULE-4196115946
DB00166	MCULE-5119858094
DB00167	MCULE-2215911951
DB00167	MCULE-9861955295
DB00169	MCULE-2976841469
DB00169	MCULE-4351239417
DB00170	MCULE-2487773379
DB00172	MCULE-1020921088
DB00172	MCULE-2229401513
DB00172	MCULE-5856142508
DB00172	MCULE-7748032436
DB00172	MCULE-8415049837
DB00173	MCULE-6556342774
DB00174	MCULE-1395307434
DB00174	MCULE-1868046141
DB00174	MCULE-5685974579
DB00174	MCULE-6923060287
DB00176	MCULE-4841680762
DB00176	MCULE-9050806258
DB00177	MCULE-3932863573
DB00177	MCULE-6728882368
DB00177	MCULE-7169523127
DB00177	MCULE-8348485974
DB00178	MCULE-5032313085
DB00178	MCULE-5248389623
DB00178	MCULE-5386328912
DB00178	MCULE-8858912367
DB00179	MCULE-7119316381
DB00180	MCULE-3573201137
DB00181	MCULE-2275748923
DB00181	MCULE-4066377889
DB00181	MCULE-5448996279
DB00181	MCULE-8004972280
DB00181	MCULE-8553382917
DB00182	MCULE-4193952437
DB00184	MCULE-5830857858
DB00184	MCULE-8728421654
DB00190	MCULE-3361662842
DB00190	MCULE-3726796258
DB00190	MCULE-7324993238
DB00191	MCULE-1315767006
DB00191	MCULE-5902765996
DB00193	MCULE-1882520267
DB00193	MCULE-8198453745
DB00194	MCULE-2748108750
DB00194	MCULE-4219451083
DB00194	MCULE-4739150481
DB00194	MCULE-5682876196
DB00194	MCULE-5882466362
DB00194	MCULE-6268373280
DB00194	MCULE-7071766082
DB00194	MCULE-7671875172
DB00194	MCULE-7821885333
DB00194	MCULE-9546992456
DB00195	MCULE-2260668292
DB00195	MCULE-9803896732
DB00196	MCULE-8641424658
DB00198	MCULE-1441617774
DB00198	MCULE-3939535663
DB00199	MCULE-2023073206
DB00199	MCULE-4566208867
DB00200	MCULE-2058909258
DB00200	MCULE-9788063146
DB00201	MCULE-3362813910
DB00202	MCULE-2070369236
DB00202	MCULE-7641058357
DB00202	MCULE-8848846426
DB00203	MCULE-2481702478
DB00203	MCULE-7780487665
DB00206	MCULE-1769487414
DB00206	MCULE-9131256292
DB00206	MCULE-9361278292
DB00206	MCULE-9946449258
DB00207	MCULE-8817893418
DB00208	MCULE-3408481955
DB00208	MCULE-3971692083
DB00210	MCULE-5017789384
DB00211	MCULE-7047456030
DB00211	MCULE-8615039451
DB00213	MCULE-8988409059
DB00214	MCULE-2734924315
DB00215	MCULE-1202550254
DB00215	MCULE-2438768682
DB00215	MCULE-3600224873
DB00215	MCULE-5882770916
DB00215	MCULE-8566721168
DB00215	MCULE-9546560466
DB00219	MCULE-1491988845
DB00219	MCULE-3000590480
DB00223	MCULE-2421243179
DB00223	MCULE-4528693607
DB00223	MCULE-4580442571
DB00225	MCULE-4909487075
DB00226	MCULE-3794032460
DB00226	MCULE-8298839317
DB00226	MCULE-9395120491
DB00227	MCULE-4325649241
DB00227	MCULE-4740518260
DB00227	MCULE-7087866108
DB00228	MCULE-1252663082
DB00228	MCULE-8703579240
DB00230	MCULE-3978936660
DB00230	MCULE-4620415947
DB00232	MCULE-4894694501
DB00233	MCULE-4841633599
DB00235	MCULE-8377851655
DB00238	MCULE-8608154492
DB00241	MCULE-4854044905
DB00243	MCULE-8182023610
DB00244	MCULE-5752745805
DB00245	MCULE-1020352947
DB00245	MCULE-4736181346
DB00245	MCULE-5276546081
DB00245	MCULE-6992114754
DB00249	MCULE-1956539577
DB00249	MCULE-3556782579
DB00249	MCULE-5585466189
DB00250	MCULE-7294380437
DB00252	MCULE-2376673346
DB00253	MCULE-4690967590
DB00254	MCULE-1429067456
DB00254	MCULE-2281788666
DB00254	MCULE-4368118692
DB00254	MCULE-8555113623
DB00254	MCULE-9451678404
DB00255	MCULE-1184803692
DB00255	MCULE-3156396266
DB00257	MCULE-6862012558
DB00258	MCULE-5396813937
DB00258	MCULE-8295936189
DB00259	MCULE-8746683155
DB00260	MCULE-3159218372
DB00260	MCULE-4212827696
DB00260	MCULE-4286940154
DB00260	MCULE-6014142329
DB00262	MCULE-3131772074
DB00263	MCULE-3522661051
DB00264	MCULE-1360440430
DB00264	MCULE-4106696689
DB00264	MCULE-4595264440
DB00264	MCULE-7999715986
DB00265	MCULE-5608418902
DB00266	MCULE-8095183287
DB00267	MCULE-9017914180
DB00268	MCULE-1333778454
DB00268	MCULE-8190476072
DB00271	MCULE-8322644190
DB00271	MCULE-8826505259
DB00272	MCULE-6411210232
DB00273	MCULE-1098341749
DB00273	MCULE-9403222429
DB00273	MCULE-9769107958
DB00274	MCULE-3476651387
DB00274	MCULE-6846138311
DB00275	MCULE-9101392328
DB00277	MCULE-8236489917
DB00279	MCULE-2542095055
DB00279	MCULE-7045978421
DB00280	MCULE-6773312150
DB00280	MCULE-8866988334
DB00281	MCULE-9294700940
DB00282	MCULE-4373491291
DB00285	MCULE-5156532617
DB00285	MCULE-6632261838
DB00291	MCULE-2575006904
DB00292	MCULE-1817647743
DB00292	MCULE-8274432743
DB00292	MCULE-9182197758
DB00293	MCULE-4162722587
DB00297	MCULE-2286784276
DB00297	MCULE-5414144502
DB00301	MCULE-1481027074
DB00302	MCULE-6087008336
DB00307	MCULE-3783114634
DB00308	MCULE-4761007717
DB00308	MCULE-5393489002
DB00309	MCULE-4530107640
DB00309	MCULE-7368625095
DB00310	MCULE-3653099088
DB00310	MCULE-5033624674
DB00310	MCULE-6661021422
DB00311	MCULE-3766215049
DB00312	MCULE-6044250008
DB00313	MCULE-7136317196
DB00316	MCULE-3844920617
DB00317	MCULE-6951584187
DB00319	MCULE-1710708785
DB00319	MCULE-3947206042
DB00319	MCULE-4673734976
DB00319	MCULE-6569523931
DB00319	MCULE-6736608092
DB00319	MCULE-6860214923
DB00319	MCULE-7023487904
DB00319	MCULE-7318373912
DB00319	MCULE-8962332504
DB00320	MCULE-2259210208
DB00320	MCULE-3057253221
DB00320	MCULE-5280612131
DB00320	MCULE-5335473482
DB00321	MCULE-3537115467
DB00321	MCULE-6119641097
DB00322	MCULE-4401224773
DB00322	MCULE-4890053166
DB00324	MCULE-2724365464
DB00328	MCULE-5636486088
DB00330	MCULE-3233367710
DB00330	MCULE-3794568832
DB00330	MCULE-9663372083
DB00331	MCULE-7393156510
DB00332	MCULE-1442325143
DB00332	MCULE-9149653773
DB00335	MCULE-3302522046
DB00335	MCULE-4852016526
DB00335	MCULE-9148694071
DB00336	MCULE-2146553194
DB00336	MCULE-5485227436
DB00339	MCULE-6846697749
DB00341	MCULE-5295925191
DB00341	MCULE-6510783794
DB00341	MCULE-8668839822
DB00342	MCULE-8216311776
DB00343	MCULE-3669072150
DB00343	MCULE-4757300773
DB00343	MCULE-6224711619
DB00343	MCULE-9931403933
DB00344	MCULE-3161866738
DB00344	MCULE-6023848462
DB00345	MCULE-8947422149
DB00345	MCULE-9532170257
DB00346	MCULE-9094645643
DB00347	MCULE-4761457520
DB00348	MCULE-6109734568
DB00351	MCULE-7583895634
DB00352	MCULE-5787306636
DB00353	MCULE-3203579416
DB00353	MCULE-7702970447
DB00353	MCULE-8879242487
DB00355	MCULE-5684719456
DB00356	MCULE-3638156868
DB00357	MCULE-5626204648
DB00357	MCULE-7766150083
