drugbank id	mesh id
DB00001	C:MESH:C083544
DB00004	C:MESH:C078456
DB00006	C:MESH:C074619
DB00007	C:MESH:D016729
DB00008	C:MESH:C100416
DB00014	C:MESH:D017273
DB00016	C:MESH:D004921
DB00017	C:MESH:C028815
DB00019	C:MESH:C455861
DB00020	C:MESH:C081222
DB00022	C:MESH:C417083
DB00025	C:MESH:C414350
DB00027	C:MESH:D006096
DB00032	C:MESH:D005640
DB00035	C:MESH:D003894
DB00036	C:MESH:C103587
DB00038	C:MESH:C105308
DB00041	C:MESH:C082598
DB00042	C:MESH:C096323
DB00050	C:MESH:C062876
DB00052	C:MESH:D019382
DB00055	C:MESH:C421124
DB00067	C:MESH:D014667
DB00069	C:MESH:C050739
DB00080	C:MESH:D017576
DB00082	C:MESH:C406545
DB00091	C:MESH:D016572
DB00093	C:MESH:D005259
DB00098	C:MESH:C512542
DB00104	C:MESH:D015282
DB00107	C:MESH:D010121
DB00113	C:MESH:C114976
DB00115	C:MESH:D014805
DB00116	C:MESH:C030371
DB00118	C:MESH:D012436
DB00119	C:MESH:D019289
DB00121	C:MESH:D001710
DB00122	C:MESH:D002794
DB00126	C:MESH:D001205
DB00127	C:MESH:D013096
DB00131	C:MESH:D000249
DB00132	C:MESH:D017962
DB00134	C:MESH:D008715
DB00136	C:MESH:D002117
DB00137	C:MESH:D014975
DB00138	C:MESH:D003553
DB00139	C:MESH:D019802
DB00140	C:MESH:D012256
DB00141	C:MESH:D000117
DB00143	C:MESH:D005978
DB00145	C:MESH:D005998
DB00147	C:MESH:D011730
DB00148	C:MESH:D003401
DB00151	C:MESH:D003545
DB00154	C:MESH:D015126
DB00158	C:MESH:D005492
DB00159	C:MESH:D015118
DB00160	C:MESH:D000409
DB00165	C:MESH:D011736
DB00168	C:MESH:D001218
DB00169	C:MESH:D002762
DB00170	C:MESH:D024483
DB00171	C:MESH:D000255
DB00173	C:MESH:D000225
DB00175	C:MESH:D017035
DB00176	C:MESH:D016666
DB00178	C:MESH:D017257
DB00179	C:MESH:D009637
DB00181	C:MESH:D001418
DB00182	C:MESH:D000661
DB00183	C:MESH:D010418
DB00184	C:MESH:D009538
DB00185	C:MESH:C059240
DB00186	C:MESH:D008140
DB00187	C:MESH:C036604
DB00189	C:MESH:D004984
DB00191	C:MESH:D010645
DB00192	C:MESH:C042398
DB00195	C:MESH:D015784
DB00196	C:MESH:D015725
DB00198	C:MESH:D053139
DB00199	C:MESH:D004917
DB00200	C:MESH:D006879
DB00201	C:MESH:D002110
DB00202	C:MESH:D013390
DB00204	C:MESH:C063533
DB00205	C:MESH:D011739
DB00206	C:MESH:D012110
DB00207	C:MESH:D017963
DB00208	C:MESH:D013988
DB00211	C:MESH:D008879
DB00212	C:MESH:C065581
DB00215	C:MESH:D015283
DB00216	C:MESH:C115647
DB00217	C:MESH:D001627
