drugbank_id	metabolights_id
DB00080	MTBLC600103
DB00091	MTBLC4031
DB00114	MTBLC18405
DB00114	MTBLC597326
DB00116	MTBLC15635
DB00116	MTBLC20506
DB00116	MTBLC57453
DB00116	MTBLC68437
DB00117	MTBLC142967
DB00117	MTBLC15971
DB00117	MTBLC27570
DB00117	MTBLC27947
DB00117	MTBLC32510
DB00117	MTBLC32512
DB00117	MTBLC32513
DB00117	MTBLC32523
DB00117	MTBLC32526
DB00117	MTBLC32527
DB00117	MTBLC32529
DB00117	MTBLC32531
DB00117	MTBLC32532
DB00117	MTBLC57595
DB00118	MTBLC142093
DB00118	MTBLC142094
DB00118	MTBLC15414
DB00118	MTBLC33440
DB00118	MTBLC33442
DB00118	MTBLC59789
DB00118	MTBLC67040
DB00119	MTBLC15361
DB00119	MTBLC32816
DB00120	MTBLC16998
DB00120	MTBLC17295
DB00120	MTBLC28044
DB00120	MTBLC32486
DB00120	MTBLC32487
DB00120	MTBLC32494
DB00120	MTBLC32495
DB00120	MTBLC32504
DB00120	MTBLC32505
DB00120	MTBLC57981
DB00120	MTBLC58095
DB00121	MTBLC15956
DB00121	MTBLC57586
DB00122	MTBLC15354
DB00123	MTBLC133538
DB00123	MTBLC16855
DB00123	MTBLC18019
DB00123	MTBLC25094
DB00123	MTBLC32550
DB00123	MTBLC32551
DB00123	MTBLC32552
DB00123	MTBLC32556
DB00123	MTBLC32557
DB00123	MTBLC32558
DB00123	MTBLC32563
DB00123	MTBLC32564
DB00123	MTBLC32565
DB00125	MTBLC15816
DB00125	MTBLC16467
DB00125	MTBLC29016
DB00125	MTBLC32681
DB00125	MTBLC32682
DB00125	MTBLC32683
DB00125	MTBLC32688
DB00125	MTBLC32689
DB00125	MTBLC32690
DB00125	MTBLC32695
DB00125	MTBLC32696
DB00125	MTBLC32697
DB00126	MTBLC29073
DB00126	MTBLC38290
DB00127	MTBLC15746
DB00127	MTBLC45725
DB00128	MTBLC17053
DB00128	MTBLC17364
DB00128	MTBLC22660
DB00128	MTBLC29990
DB00128	MTBLC29991
DB00128	MTBLC29993
DB00128	MTBLC29994
DB00128	MTBLC29995
DB00128	MTBLC35391
DB00129	MTBLC15729
DB00129	MTBLC16176
DB00129	MTBLC18257
DB00129	MTBLC32964
DB00129	MTBLC44667
DB00129	MTBLC46911
DB00129	MTBLC46912
DB00129	MTBLC46913
DB00129	MTBLC46914
DB00129	MTBLC57668
DB00130	MTBLC17061
DB00130	MTBLC18050
DB00130	MTBLC28300
DB00130	MTBLC32665
DB00130	MTBLC32666
DB00130	MTBLC32672
DB00130	MTBLC32673
DB00130	MTBLC32678
DB00130	MTBLC32679
DB00130	MTBLC58000
DB00130	MTBLC58359
DB00131	MTBLC16027
DB00131	MTBLC40721
DB00131	MTBLC456215
DB00132	MTBLC27432
DB00132	MTBLC32387
DB00133	MTBLC16523
DB00133	MTBLC17115
DB00133	MTBLC17822
DB00133	MTBLC32836
DB00133	MTBLC32837
DB00133	MTBLC32840
DB00133	MTBLC32841
DB00133	MTBLC32845
DB00133	MTBLC32846
DB00133	MTBLC33384
DB00133	MTBLC35243
DB00133	MTBLC35247
DB00134	MTBLC16643
DB00134	MTBLC16811
DB00134	MTBLC16867
DB00134	MTBLC32631
DB00134	MTBLC32632
DB00134	MTBLC32637
DB00134	MTBLC32638
DB00134	MTBLC32644
DB00134	MTBLC32646
DB00134	MTBLC57844
DB00134	MTBLC57932
DB00134	MTBLC64558
DB00135	MTBLC17895
DB00135	MTBLC18186
DB00135	MTBLC28479
DB00135	MTBLC32760
DB00135	MTBLC32761
DB00135	MTBLC32762
DB00135	MTBLC32773
DB00135	MTBLC32774
DB00135	MTBLC32775
DB00135	MTBLC32784
DB00135	MTBLC32785
DB00135	MTBLC32786
DB00135	MTBLC58315
DB00135	MTBLC58570
DB00136	MTBLC17823
DB00137	MTBLC28838
DB00138	MTBLC145813
DB00138	MTBLC16283
DB00138	MTBLC17376
DB00138	MTBLC35491
DB00138	MTBLC35492
DB00138	MTBLC35494
DB00138	MTBLC63163
DB00139	MTBLC15741
DB00139	MTBLC30031
DB00139	MTBLC30779
DB00140	MTBLC17015
DB00140	MTBLC57986
DB00141	MTBLC17122
DB00141	MTBLC17411
DB00142	MTBLC14321
DB00142	MTBLC15966
DB00142	MTBLC16015
DB00142	MTBLC18237
DB00142	MTBLC29985
DB00142	MTBLC29986
DB00142	MTBLC29987
DB00142	MTBLC29988
DB00142	MTBLC29989
DB00143	MTBLC16856
DB00143	MTBLC57925
DB00145	MTBLC132194
DB00145	MTBLC15428
DB00145	MTBLC32507
DB00145	MTBLC32508
DB00145	MTBLC57305
DB00146	MTBLC17933
DB00147	MTBLC131529
DB00147	MTBLC131530
DB00147	MTBLC17310
DB00148	MTBLC16919
DB00148	MTBLC57947
DB00148	MTBLC66924
DB00149	MTBLC143079
DB00149	MTBLC15603
DB00149	MTBLC25017
DB00149	MTBLC28225
DB00149	MTBLC32619
DB00149	MTBLC32620
DB00149	MTBLC32623
DB00149	MTBLC32624
DB00149	MTBLC32627
DB00149	MTBLC32628
DB00149	MTBLC57427
DB00150	MTBLC16296
DB00150	MTBLC16828
DB00150	MTBLC27897
DB00150	MTBLC32702
DB00150	MTBLC32704
DB00150	MTBLC32716
DB00150	MTBLC32717
DB00150	MTBLC32727
DB00150	MTBLC32728
DB00150	MTBLC57719
DB00150	MTBLC57912
DB00150	MTBLC64554
DB00151	MTBLC15356
DB00151	MTBLC16375
DB00151	MTBLC17561
DB00151	MTBLC32442
DB00151	MTBLC32443
DB00151	MTBLC32445
DB00151	MTBLC32449
DB00151	MTBLC32450
DB00151	MTBLC32451
DB00151	MTBLC32456
DB00151	MTBLC32457
DB00151	MTBLC32458
DB00151	MTBLC35235
DB00151	MTBLC35236
DB00151	MTBLC35237
DB00152	MTBLC18385
DB00152	MTBLC49107
DB00153	MTBLC28934
DB00154	MTBLC53486
DB00154	MTBLC71589
DB00155	MTBLC16349
DB00155	MTBLC18211
DB00155	MTBLC49007
DB00155	MTBLC57743
DB00155	MTBLC66922
DB00156	MTBLC16398
DB00156	MTBLC16857
DB00156	MTBLC28718
DB00156	MTBLC32820
DB00156	MTBLC32822
DB00156	MTBLC32826
DB00156	MTBLC32827
DB00156	MTBLC32828
DB00156	MTBLC38263
DB00156	MTBLC57757
DB00156	MTBLC57926
DB00156	MTBLC58585
DB00156	MTBLC58645
DB00158	MTBLC27470
DB00158	MTBLC62501
DB00159	MTBLC28364
DB00159	MTBLC58562
DB00160	MTBLC132498
DB00160	MTBLC143534
DB00160	MTBLC15570
DB00160	MTBLC16449
DB00160	MTBLC16977
DB00160	MTBLC32431
DB00160	MTBLC32432
DB00160	MTBLC32435
DB00160	MTBLC32436
DB00160	MTBLC32439
DB00160	MTBLC32440
DB00160	MTBLC57416
DB00160	MTBLC57972
DB00160	MTBLC66916
DB00160	MTBLC76050
DB00161	MTBLC16414
DB00161	MTBLC27266
DB00161	MTBLC27477
DB00161	MTBLC32851
DB00161	MTBLC32852
DB00161	MTBLC32855
DB00161	MTBLC32856
DB00161	MTBLC32859
DB00161	MTBLC32860
DB00161	MTBLC57762
DB00161	MTBLC74338
DB00161	MTBLC87977
DB00162	MTBLC16302
DB00162	MTBLC17336
DB00162	MTBLC45479
DB00162	MTBLC50211
DB00162	MTBLC78272
DB00163	MTBLC18145
DB00163	MTBLC46430
DB00165	MTBLC16709
DB00166	MTBLC16494
DB00166	MTBLC30313
DB00166	MTBLC30314
DB00166	MTBLC43796
DB00166	MTBLC83088
DB00167	MTBLC17191
DB00167	MTBLC27730
DB00167	MTBLC32604
DB00167	MTBLC32605
DB00167	MTBLC32608
DB00167	MTBLC32609
DB00167	MTBLC43433
DB00167	MTBLC58045
DB00167	MTBLC85338
DB00169	MTBLC28940
DB00171	MTBLC15422
DB00171	MTBLC30616
DB00171	MTBLC57299
DB00172	MTBLC16313
DB00172	MTBLC17203
DB00172	MTBLC26271
DB00172	MTBLC32862
DB00172	MTBLC32864
DB00172	MTBLC32867
DB00172	MTBLC32868
DB00172	MTBLC32871
DB00172	MTBLC32872
DB00172	MTBLC57726
DB00172	MTBLC60039
DB00173	MTBLC16708
DB00174	MTBLC17196
DB00174	MTBLC22653
DB00174	MTBLC28159
DB00174	MTBLC32650
DB00174	MTBLC32651
DB00174	MTBLC32656
DB00174	MTBLC32657
DB00174	MTBLC32660
DB00174	MTBLC32661
DB00174	MTBLC58048
DB00174	MTBLC74337
DB00175	MTBLC63618
DB00175	MTBLC63660
DB00179	MTBLC73468
DB00179	MTBLC7625
DB00184	MTBLC138000
DB00184	MTBLC17688
DB00184	MTBLC18723
DB00184	MTBLC39162
DB00184	MTBLC59806
DB00184	MTBLC79008
DB00193	MTBLC75725
DB00193	MTBLC75737
DB00194	MTBLC16335
DB00194	MTBLC45327
DB00199	MTBLC145339
DB00199	MTBLC42355
DB00199	MTBLC64268
DB00200	MTBLC15377
DB00200	MTBLC15852
DB00200	MTBLC16234
DB00200	MTBLC27786
DB00200	MTBLC29374
DB00200	MTBLC29375
DB00200	MTBLC29412
DB00200	MTBLC33806
DB00200	MTBLC33811
DB00200	MTBLC33813
DB00200	MTBLC41981
DB00201	MTBLC27732
DB00206	MTBLC28487
DB00206	MTBLC91839
DB00206	MTBLC92652
DB00206	MTBLC94619
DB00227	MTBLC40303
DB00247	MTBLC584020
DB00247	MTBLC6894
DB00247	MTBLC91995
DB00247	MTBLC92629
DB00248	MTBLC91795
DB00254	MTBLC50845
DB00256	MTBLC59040
DB00258	MTBLC15366
DB00258	MTBLC29108
DB00258	MTBLC30089
DB00260	MTBLC40009
DB00260	MTBLC74159
DB00260	MTBLC75929
DB00277	MTBLC28177
DB00279	MTBLC18258
DB00279	MTBLC533015
DB00279	MTBLC60308
DB00290	MTBLC3139
DB00305	MTBLC27504
DB00305	MTBLC91730
DB00305	MTBLC94648
DB00309	MTBLC36373
DB00316	MTBLC46195
DB00320	MTBLC4562
DB00320	MTBLC91758
DB00327	MTBLC5790
DB00328	MTBLC49662
DB00332	MTBLC5956
DB00332	MTBLC91495
DB00332	MTBLC91505
DB00332	MTBLC91661
DB00345	MTBLC104011
DB00345	MTBLC64703
DB00353	MTBLC6874
DB00353	MTBLC91798
DB00353	MTBLC92607
DB00360	MTBLC136570
DB00360	MTBLC15372
DB00360	MTBLC52447
DB00360	MTBLC59560
DB00360	MTBLC64241
DB00360	MTBLC64491
DB00361	MTBLC480999
DB00361	MTBLC93786
DB00361	MTBLC94502
DB00364	MTBLC15377
DB00364	MTBLC16234
DB00364	MTBLC29374
DB00364	MTBLC29375
DB00364	MTBLC29412
DB00364	MTBLC33806
DB00364	MTBLC33811
DB00364	MTBLC33813
DB00364	MTBLC41981
DB00368	MTBLC18357
DB00368	MTBLC33569
DB00368	MTBLC33571
DB00368	MTBLC72587
DB00374	MTBLC50861
DB00385	MTBLC135876
DB00390	MTBLC4551
DB00396	MTBLC17026
DB00400	MTBLC27779
DB00410	MTBLC145790
DB00410	MTBLC7025
DB00416	MTBLC16382
DB00416	MTBLC43451
DB00428	MTBLC9288
DB00435	MTBLC16480
DB00445	MTBLC124964
DB00445	MTBLC28748
DB00445	MTBLC41983
DB00445	MTBLC47898
DB00445	MTBLC64816
DB00445	MTBLC91746
DB00445	MTBLC91872
DB00446	MTBLC17698
DB00451	MTBLC18332
DB00451	MTBLC58448
DB00451	MTBLC60302
DB00452	MTBLC7508
DB00452	MTBLC87835
DB00453	MTBLC59589
DB00462	MTBLC15858
DB00462	MTBLC47266
DB00464	MTBLC29101
DB00466	MTBLC8205
DB00466	MTBLC8206
DB00468	MTBLC137041
DB00468	MTBLC15854
DB00468	MTBLC28593
DB00468	MTBLC94416
DB00468	MTBLC94816
DB00468	MTBLC95172
DB00470	MTBLC66964
DB00483	MTBLC16382
DB00483	MTBLC43451
DB00504	MTBLC6431
DB00509	MTBLC18332
DB00509	MTBLC58448
DB00509	MTBLC60302
DB00512	MTBLC28001
DB00512	MTBLC76842
DB00513	MTBLC16586
DB00513	MTBLC32396
DB00513	MTBLC57826
DB00514	MTBLC4470
DB00514	MTBLC91690
DB00514	MTBLC92422
DB00514	MTBLC92579
DB00515	MTBLC16134
DB00515	MTBLC17883
DB00515	MTBLC17996
DB00515	MTBLC28938
DB00517	MTBLC15858
DB00517	MTBLC47266
DB00523	MTBLC15036
DB00523	MTBLC15367
DB00523	MTBLC26536
DB00523	MTBLC35291
DB00523	MTBLC46856
DB00523	MTBLC50648
DB00523	MTBLC6067
DB00523	MTBLC78630
DB00523	MTBLC87435
DB00526	MTBLC16995
DB00526	MTBLC30623
DB00526	MTBLC46904
DB00534	MTBLC17883
DB00534	MTBLC17996
DB00540	MTBLC7640
DB00541	MTBLC104242
DB00541	MTBLC143658
DB00541	MTBLC28445
DB00548	MTBLC48131
DB00548	MTBLC78208
DB00551	MTBLC27777
DB00551	MTBLC49029
DB00553	MTBLC18358
DB00554	MTBLC8249
DB00560	MTBLC142708
DB00560	MTBLC149836
DB00570	MTBLC125454
DB00570	MTBLC27375
DB00570	MTBLC6429
DB00571	MTBLC8499
DB00571	MTBLC8736
DB00572	MTBLC104243
DB00572	MTBLC16684
DB00572	MTBLC17486
DB00572	MTBLC48882
DB00572	MTBLC57858
DB00572	MTBLC58164
DB00572	MTBLC78734
DB00572	MTBLC91877
DB00572	MTBLC92712
DB00572	MTBLC94601
DB00583	MTBLC11060
DB00583	MTBLC16347
DB00583	MTBLC17126
DB00583	MTBLC3424
DB00583	MTBLC39547
DB00583	MTBLC51453
DB00595	MTBLC133011
DB00595	MTBLC27701
DB00602	MTBLC91732
DB00602	MTBLC94551
DB00611	MTBLC3242
DB00611	MTBLC3243
DB00618	MTBLC4392
DB00624	MTBLC17347
DB00624	MTBLC42534
DB00627	MTBLC15940
DB00627	MTBLC32544
DB00632	MTBLC31000
DB00640	MTBLC16335
DB00640	MTBLC45327
DB00646	MTBLC473992
DB00650	MTBLC15640
DB00650	MTBLC57457
DB00650	MTBLC63606
DB00650	MTBLC65340
DB00653	MTBLC16189
DB00653	MTBLC26836
DB00653	MTBLC45696
DB00655	MTBLC17263
DB00668	MTBLC28918
DB00668	MTBLC33568
DB00668	MTBLC40751
DB00668	MTBLC71406
DB00674	MTBLC42944
DB00674	MTBLC68318
DB00674	MTBLC91735
DB00676	MTBLC41237
DB00681	MTBLC2682
DB00684	MTBLC28864
DB00684	MTBLC73678
DB00694	MTBLC31456
DB00694	MTBLC41977
DB00694	MTBLC64677
DB00694	MTBLC91818
DB00694	MTBLC94265
DB00694	MTBLC94798
DB00696	MTBLC64318
DB00714	MTBLC48538
DB00714	MTBLC93852
DB00725	MTBLC15858
DB00725	MTBLC47266
DB00725	MTBLC93866
DB00741	MTBLC17650
DB00742	MTBLC134311
DB00742	MTBLC16813
DB00742	MTBLC16899
DB00742	MTBLC17459
DB00742	MTBLC17924
DB00742	MTBLC18202
DB00742	MTBLC28789
DB00742	MTBLC38030
DB00742	MTBLC87978
DB00747	MTBLC16794
DB00747	MTBLC61269
DB00755	MTBLC15036
DB00755	MTBLC15367
DB00755	MTBLC26536
DB00755	MTBLC35291
DB00755	MTBLC46856
DB00755	MTBLC50648
DB00755	MTBLC6067
DB00755	MTBLC78630
DB00755	MTBLC87435
DB00759	MTBLC27902
DB00759	MTBLC34858
DB00759	MTBLC71392
DB00759	MTBLC77932
DB00761	MTBLC17883
DB00761	MTBLC17996
DB00761	MTBLC29103
DB00765	MTBLC6912
DB00766	MTBLC487869
DB00766	MTBLC48947
DB00770	MTBLC15544
DB00770	MTBLC57397
DB00783	MTBLC16469
DB00783	MTBLC17160
DB00783	MTBLC23965
DB00812	MTBLC48574
DB00814	MTBLC6741
DB00815	MTBLC29101
DB00825	MTBLC15402
DB00825	MTBLC15409
DB00825	MTBLC18451
DB00825	MTBLC25187
DB00825	MTBLC76306
DB00830	MTBLC8067
DB00847	MTBLC17141
DB00847	MTBLC58029
DB00852	MTBLC132296
DB00852	MTBLC15407
DB00852	MTBLC51209
DB00852	MTBLC57295
DB00854	MTBLC29133
DB00854	MTBLC6444
DB00854	MTBLC6445
DB00855	MTBLC12109
DB00855	MTBLC132970
DB00855	MTBLC17549
DB00855	MTBLC356416
DB00860	MTBLC8378
DB00864	MTBLC61049
DB00877	MTBLC9168
DB00895	MTBLC133538
DB00895	MTBLC16855
DB00895	MTBLC18019
DB00895	MTBLC25094
DB00895	MTBLC32550
DB00895	MTBLC32551
DB00895	MTBLC32552
DB00895	MTBLC32556
DB00895	MTBLC32557
DB00895	MTBLC32558
DB00895	MTBLC32563
DB00895	MTBLC32564
DB00895	MTBLC32565
DB00898	MTBLC16236
DB00907	MTBLC27958
DB00907	MTBLC60056
DB00908	MTBLC137041
DB00908	MTBLC15854
DB00908	MTBLC28593
DB00908	MTBLC94416
DB00908	MTBLC94816
DB00908	MTBLC95172
DB00917	MTBLC131888
DB00917	MTBLC15551
DB00917	MTBLC606564
DB00919	MTBLC77315
DB00919	MTBLC9215
DB00921	MTBLC3216
DB00931	MTBLC6805
DB00936	MTBLC16914
DB00936	MTBLC30762
DB00958	MTBLC16134
DB00958	MTBLC28938
DB00968	MTBLC61058
DB00981	MTBLC27953
DB00982	MTBLC15036
DB00982	MTBLC15367
DB00982	MTBLC26536
DB00982	MTBLC35291
