drugbank_id	molport_id
DB00006	MolPort-006-167-455
DB00006	MolPort-046-684-145
DB00007	MolPort-006-069-430
DB00007	MolPort-006-823-832
DB00007	MolPort-023-276-592
DB00007	MolPort-044-727-713
DB00007	MolPort-046-684-146
DB00014	MolPort-006-823-830
DB00014	MolPort-006-823-831
DB00014	MolPort-023-276-864
DB00014	MolPort-046-418-122
DB00035	MolPort-006-069-425
DB00035	MolPort-027-720-510
DB00035	MolPort-046-417-182
DB00035	MolPort-046-594-113
DB00035	MolPort-046-767-484
DB00050	MolPort-006-167-462
DB00050	MolPort-009-194-176
DB00050	MolPort-046-426-357
DB00080	MolPort-003-846-138
DB00080	MolPort-008-155-966
DB00080	MolPort-023-276-990
DB00080	MolPort-046-033-485
DB00091	MolPort-000-760-988
DB00091	MolPort-000-770-536
DB00091	MolPort-005-934-008
DB00091	MolPort-006-705-994
DB00091	MolPort-006-823-823
DB00091	MolPort-008-348-475
DB00091	MolPort-016-633-326
DB00091	MolPort-023-220-296
DB00091	MolPort-023-220-498
DB00091	MolPort-042-665-995
DB00091	MolPort-046-417-354
DB00093	MolPort-006-110-121
DB00104	MolPort-006-069-387
DB00104	MolPort-006-167-468
DB00104	MolPort-006-395-515
DB00104	MolPort-009-194-181
DB00104	MolPort-023-276-221
DB00106	MolPort-006-167-469
DB00106	MolPort-039-140-385
DB00114	MolPort-003-939-200
DB00114	MolPort-003-939-335
DB00115	MolPort-016-633-264
DB00115	MolPort-035-395-693
DB00115	MolPort-046-785-846
DB00116	MolPort-001-684-176
DB00116	MolPort-006-168-120
DB00116	MolPort-044-561-485
DB00116	MolPort-044-561-727
DB00117	MolPort-001-779-923
DB00117	MolPort-001-792-384
DB00117	MolPort-001-794-138
DB00117	MolPort-003-936-071
DB00117	MolPort-006-167-473
DB00117	MolPort-019-996-218
DB00118	MolPort-003-925-199
DB00118	MolPort-003-925-201
DB00118	MolPort-003-940-163
DB00118	MolPort-003-981-647
DB00118	MolPort-005-938-266
DB00118	MolPort-023-278-205
DB00118	MolPort-027-720-823
DB00118	MolPort-035-757-516
DB00119	MolPort-001-779-763
DB00120	MolPort-001-757-101
DB00120	MolPort-001-757-416
DB00120	MolPort-001-780-018
DB00120	MolPort-003-934-837
DB00121	MolPort-001-788-412
DB00121	MolPort-002-111-510
DB00121	MolPort-002-507-373
DB00122	MolPort-001-792-031
DB00123	MolPort-001-758-969
DB00123	MolPort-001-779-975
DB00123	MolPort-001-792-388
DB00125	MolPort-000-000-568
DB00125	MolPort-001-779-889
DB00125	MolPort-003-925-879
DB00125	MolPort-006-109-239
DB00125	MolPort-006-118-537
DB00125	MolPort-046-068-942
DB00126	MolPort-001-510-438
DB00126	MolPort-001-792-501
DB00126	MolPort-002-507-101
DB00126	MolPort-003-937-345
DB00126	MolPort-044-432-328
DB00127	MolPort-001-801-284
DB00127	MolPort-003-850-274
DB00127	MolPort-039-140-318
DB00128	MolPort-001-781-456
DB00128	MolPort-001-792-017
DB00128	MolPort-002-499-382
DB00128	MolPort-003-930-224
DB00129	MolPort-003-958-892
DB00129	MolPort-005-934-107
DB00129	MolPort-006-111-147
DB00130	MolPort-000-003-912
DB00130	MolPort-001-786-509
DB00130	MolPort-001-794-053
DB00130	MolPort-042-682-386
DB00131	MolPort-002-733-851
DB00131	MolPort-004-946-768
DB00131	MolPort-006-125-990
DB00131	MolPort-030-042-345
DB00132	MolPort-003-937-817
DB00132	MolPort-044-727-658
DB00133	MolPort-000-158-483
DB00133	MolPort-001-573-587
DB00133	MolPort-003-939-270
DB00133	MolPort-006-711-445
DB00133	MolPort-042-682-384
DB00134	MolPort-000-884-406
DB00134	MolPort-000-928-154
DB00134	MolPort-001-792-019
DB00135	MolPort-001-780-010
DB00135	MolPort-001-792-016
DB00135	MolPort-003-939-305
DB00135	MolPort-042-682-388
DB00136	MolPort-002-045-698
DB00136	MolPort-003-984-885
DB00136	MolPort-006-391-921
DB00136	MolPort-046-416-961
DB00136	MolPort-046-417-304
DB00136	MolPort-046-590-013
DB00136	MolPort-046-682-808
