drugbank_id	nikkaji_id
DB00006	J1.204.802E
DB00007	J2.200.314C
DB00007	J2.200.334H
DB00007	J34.477J
DB00007	J376.717E
DB00014	J1.344.363G
DB00014	J34.701I
DB00035	J10.349G
DB00035	J396.163J
DB00035	J440.271E
DB00050	J389.231J
DB00080	J359.001A
DB00091	J1.375.706B
DB00091	J34.321H
DB00091	J467.031K
DB00093	J4.571C
DB00104	J23.280G
DB00104	J23.724H
DB00106	J1.401.931F
DB00114	J10.690I
DB00114	J2.783.085D
DB00114	J286.321I
DB00114	J458.035D
DB00114	J490.876G
DB00114	J561.666B
DB00115	J2.229.203J
DB00115	J597.077F
DB00116	J1.616.012A
DB00116	J1.784.640J
DB00116	J184.393A
DB00116	J2.048.827A
DB00116	J2.071.265A
DB00116	J2.071.266J
DB00116	J483.676F
DB00116	J484.203K
DB00116	J554.008I
DB00117	J1.218.634G
DB00117	J1.290D
DB00117	J1.479.082I
DB00117	J1.505.030F
DB00117	J1.877.651K
DB00117	J1.918.540K
DB00117	J2.235.561I
DB00117	J2.296.405D
DB00117	J2.300.623E
DB00117	J2.602.178B
DB00117	J2.816.540D
DB00117	J2.951.417H
DB00117	J3.199.408J
DB00117	J4.881J
DB00117	J462.797K
DB00117	J482.295A
DB00117	J482.793G
DB00117	J482.794E
DB00117	J651.559B
DB00117	J651.560F
DB00117	J9.194D
DB00118	J1.035.295I
DB00118	J1.722.221J
DB00118	J2.002.215I
DB00118	J2.303.892G
DB00118	J23.293I
DB00118	J245.590K
DB00118	J260.469H
DB00118	J6.004F
DB00118	J699.275G
DB00118	J906.644F
DB00119	J1.441.944F
DB00119	J1.545.006A
DB00119	J1.545.007J
DB00119	J1.597.439G
DB00119	J2.015J
DB00119	J2.284.635C
DB00119	J2.292.904F
DB00119	J2.763.632B
DB00119	J2.849.470J
DB00119	J3.266.221H
DB00119	J3.368.362F
DB00119	J458.184I
DB00119	J469.720K
DB00119	J819.240E
DB00120	J1.004.832J
DB00120	J1.027.961E
DB00120	J1.068.211H
DB00120	J1.068.213D
DB00120	J1.138.807H
DB00120	J1.258K
DB00120	J1.427.955E
DB00120	J1.522.808C
DB00120	J1.526.791G
DB00120	J1.743.919G
DB00120	J1.743.921I
DB00120	J1.815.767E
DB00120	J2.049.605C
