drugbank_id	rhea_id
DB00114	597326
DB00115	17439
DB00115	48828
DB00116	57453
DB00117	142967
DB00117	57595
DB00118	142093
DB00118	142094
DB00118	59789
DB00119	15361
DB00120	57981
DB00120	58095
DB00121	57586
DB00122	15354
DB00123	32551
DB00123	32557
DB00125	32682
DB00125	32689
DB00126	38290
DB00127	45725
DB00128	29990
DB00128	29991
DB00129	46911
DB00129	57668
DB00130	58000
DB00130	58359
DB00131	456215
DB00132	32387
DB00133	33384
DB00133	35247
DB00134	57844
DB00134	57932
DB00134	64558
DB00135	58315
DB00135	58570
DB00136	17823
DB00137	28838
DB00138	35491
DB00139	30031
DB00140	57986
DB00141	17122
DB00142	29985
DB00142	29986
DB00143	57925
DB00145	57305
DB00146	17933
DB00147	17310
DB00148	57947
DB00149	143079
DB00149	57427
DB00150	57719
DB00150	57912
DB00151	35235
DB00151	35236
DB00152	18385
DB00153	28934
DB00154	71589
DB00155	57743
DB00156	57757
DB00156	57926
DB00156	58585
DB00156	58645
DB00158	62501
DB00159	58562
DB00160	57416
DB00160	57972
DB00161	57762
DB00161	74338
DB00162	16302
DB00162	17336
DB00162	45479
DB00162	50211
DB00162	78272
DB00163	18145
DB00165	16709
DB00166	83088
DB00167	58045
DB00167	85306
DB00167	85338
DB00169	28940
DB00170	28869
DB00171	30616
DB00172	57726
DB00172	60039
DB00173	16708
DB00174	58048
DB00174	74337
DB00175	63660
DB00184	59806
DB00184	79008
DB00194	16335
DB00196	46081
DB00199	64268
DB00200	15377
DB00200	15852
DB00201	27732
DB00233	137598
DB00244	20551
DB00258	29108
DB00258	30089
DB00260	75929
DB00277	28177
DB00279	533015
DB00339	45285
DB00352	9555
DB00360	136570
DB00360	59560
DB00360	64241
DB00364	15377
DB00368	72587
DB00396	17026
DB00416	16382
DB00431	32888
DB00435	16480
DB00445	64816
DB00446	17698
DB00451	305790
DB00451	58448
DB00452	65077
DB00452	87835
DB00462	15858
DB00464	29101
DB00468	137041
DB00470	66964
DB00483	16382
DB00509	305790
DB00509	58448
DB00512	76842
DB00512	85491
DB00513	57826
DB00515	17996
DB00515	28938
DB00517	15858
DB00518	16664
DB00523	15036
DB00523	35291
DB00523	78630
DB00523	87435
DB00526	30623
DB00529	91254
DB00534	17996
DB00536	30087
DB00541	143658
DB00548	78208
DB00553	18358
DB00560	142708
DB00563	50681
DB00572	57858
DB00572	58164
DB00582	10023
DB00583	11060
DB00583	16347
DB00583	17126
DB00595	133011
DB00609	4885
DB00624	17347
DB00624	42534
DB00627	32544
DB00640	16335
DB00650	57457
DB00653	16189
DB00653	18420
DB00655	17263
DB00668	71406
DB00676	41237
DB00677	17941
DB00684	73678
DB00694	64677
DB00725	15858
DB00741	17650
DB00742	134311
DB00742	16813
DB00742	16899
DB00742	17459
DB00742	17924
DB00742	18202
DB00747	16794
DB00755	15036
DB00755	35291
DB00755	78630
DB00755	87435
DB00759	77932
DB00761	17996
DB00761	29103
DB00766	487869
DB00770	57397
DB00783	16469
DB00783	17160
DB00815	29101
DB00825	15402
DB00825	15409
DB00828	62247
DB00847	58029
DB00852	57295
DB00855	356416
DB00895	32551
DB00895	32557
DB00898	16236
DB00907	60056
DB00908	137041
DB00917	606564
DB00936	30762
DB00945	13719
DB00958	28938
DB00974	64755
DB00977	4903
DB00982	15036
DB00982	35291
DB00982	78630
DB00982	87435
DB00987	17562
DB00988	59905
DB00997	64816
DB01005	44423
DB01022	18067
DB01024	62932
DB01026	47518
DB01026	48336
DB01033	50667
DB01045	71365
DB01051	71339
DB01053	51354
DB01082	58007
DB01093	28262
DB01094	28230
DB01110	82894
DB01110	82897
DB01160	57404
DB01160	85173
DB01164	17996
DB01164	29108
DB01167	6076
DB01172	58214
DB01210	58612
DB01223	28177
DB01229	45863
DB01235	57504
DB01240	57403
DB01265	17748
DB01294	15377
DB01294	30762
DB01296	144817
DB01296	58723
DB01303	15354
DB01345	29103
DB01346	137041
DB01356	49713
DB01364	57295
DB01375	15377
DB01375	25629
DB01377	18420
DB01378	18420
DB01390	17544
DB01390	29101
DB01397	18420
DB01397	30762
DB01401	15354
DB01401	18420
DB01401	30762
DB01412	28946
DB01426	58567
DB01436	31186
DB01440	16724
DB01451	133930
DB01456	83865
DB01477	15858
DB01481	87331
DB01494	17750
DB01524	2710
DB01530	18011
DB01530	18329
DB01530	36713
DB01536	16422
DB01541	34584
DB01561	15994
DB01561	16985
DB01574	15377
DB01574	18420
DB01575	15377
DB01583	29101
DB01583	305790
DB01583	533015
DB01583	58448
DB01586	36234
DB01586	78602
DB01586	78604
DB01586	87730
DB01632	58017
DB01638	134311
DB01638	16813
DB01638	16899
DB01638	17459
DB01638	17924
DB01638	18202
DB01642	17540
DB01643	63528
DB01645	74224
DB01646	71670
DB01649	144023
DB01650	12875
DB01650	47921
DB01652	57356
DB01655	58759
DB01661	73183
DB01671	15377
DB01672	36654
DB01673	83898
DB01675	62500
DB01677	29806
DB01677	30780
DB01686	58326
DB01687	17057
DB01687	17306
DB01687	17716
DB01687	18147
DB01687	18167
DB01687	36218
DB01687	47931
DB01687	64351
DB01688	17847
DB01690	58529
DB01692	17456
DB01692	18320
DB01694	30924
DB01694	30927
DB01694	30928
DB01694	30929
DB01697	140999
DB01697	27931
DB01697	3528
DB01700	58475
DB01702	17612
DB01707	74966
DB01708	28689
DB01709	58289
DB01713	57632
DB01713	61457
DB01714	58202
DB01715	58500
DB01717	62041
DB01726	18112
DB01727	15562
DB01727	15563
DB01727	16087
DB01728	73005
DB01729	203600
DB01729	58414
DB01735	47291
DB01735	58132
DB01738	58190
DB01739	58045
DB01739	85306
DB01739	85338
DB01744	15396
DB01744	15397
DB01746	143079
DB01746	57427
DB01747	29034
DB01752	57856
DB01756	136590
DB01756	58766
DB01758	59898
DB01762	13705
DB01774	57498
DB01775	16016
DB01776	17231
DB01779	58083
DB01783	29032
DB01785	57623
DB01786	57416
DB01786	57972
DB01794	18420
DB01794	58698
DB01794	71302
DB01794	71305
DB01794	82685
DB01796	29959
DB01804	134467
DB01811	27404
DB01812	58343
DB01819	58702
DB01822	28059
DB01822	41837
DB01828	59338
DB01837	58340
DB01839	16997
DB01839	28972
DB01839	29002
DB01844	17741
DB01849	15901
DB01852	58573
DB01853	18420
DB01856	36165
DB01857	57535
DB01859	57919
DB01861	58885
DB01861	66914
DB01863	57895
DB01873	29579
DB01874	57851
DB01880	57770
DB01885	15945
DB01885	16217
DB01902	44348
DB01912	17996
DB01914	40822
DB01914	42758
DB01917	326268
DB01919	84069
DB01923	57737
DB01923	57829
DB01923	58121
DB01923	58226
DB01930	15980
DB01936	28272
DB01936	47002
DB01936	47013
DB01936	6178
DB01937	74604
DB01942	15740
DB01956	507393
DB01961	60875
DB01962	62338
DB01971	17771
DB01971	27247
DB01972	58115
DB01979	17540
DB01982	58658
DB01982	58720
DB01982	75525
DB01982	85312
DB01982	85313
DB01987	58937
DB01990	136579
DB01992	57287
DB01995	142796
DB02007	58225
DB02007	58247
DB02007	58735
DB02007	60332
DB02007	61548
DB02007	61567
DB02007	91004
DB02010	57491
DB02013	15377
DB02015	57451
DB02022	16892
DB02023	63224
DB02024	51057
DB02025	58572
DB02030	57918
DB02031	57453
DB02043	72829
DB02043	85270
DB02053	57693
DB02053	58273
DB02056	57406
DB02059	57967
DB02060	17854
DB02061	17057
DB02061	17306
DB02061	17716
DB02061	18147
DB02061	18167
DB02061	36218
DB02061	47931
DB02061	64351
DB02068	356010
DB02070	57959
DB02073	57991
DB02074	35899
DB02076	58759
DB02083	58251
DB02085	58360
DB02092	41509
DB02095	27539
DB02097	17562
DB02100	17540
DB02115	42202
DB02119	44841
DB02123	132030
DB02123	36252
DB02124	60849
DB02129	30864
DB02130	16632
DB02133	18420
DB02134	17712
DB02137	58698
DB02137	71302
DB02137	71305
DB02137	82685
DB02142	58451
DB02144	72837
DB02145	28885
DB02153	61085
DB02156	57940
DB02159	16997
DB02159	28972
DB02159	29002
DB02165	15377
DB02174	58000
DB02174	58359
DB02175	15792
DB02176	16793
DB02176	30089
DB02178	16424
DB02180	57385
DB02181	61429
DB02184	17456
DB02184	18320
DB02185	18048
DB02186	63270
DB02188	49552
DB02190	58931
DB02196	57705
DB02196	67138
DB02196	68623
DB02201	15792
DB02203	15348
DB02209	58589
DB02224	17948
DB02232	18135
DB02235	58772
DB02235	58773
DB02236	58457
DB02238	16723
DB02241	139323
DB02251	18325
DB02256	16450
DB02261	44811
DB02262	30839
DB02263	58027
DB02263	59776
DB02267	57472
DB02272	58126
DB02274	57532
DB02279	36656
DB02280	17756
DB02280	32382
DB02282	17509
DB02285	57306
DB02289	58158
DB02296	15837
DB02304	133391
DB02306	73002
DB02312	58225
DB02312	58247
DB02312	58735
DB02312	60332
DB02312	61548
DB02312	61567
DB02312	91004
DB02314	142725
DB02314	83900
DB02315	57746
DB02317	57629
DB02317	57684
DB02317	57734
DB02317	58336
DB02317	58409
DB02317	58601
DB02317	75522
DB02321	58195
DB02325	17824
DB02333	61555
DB02334	58738
DB02334	61289
DB02338	57783
DB02342	28955
DB02345	57843
DB02362	17836
DB02368	58765
DB02373	15377
DB02375	58395
DB02377	16235
DB02379	15903
DB02379	17925
DB02379	27667
DB02379	28061
DB02379	28563
DB02379	28729
DB02379	37619
DB02379	40656
DB02379	4139
DB02379	4167
DB02379	4208
DB02380	28997
DB02382	57502
DB02406	31011
DB02418	16812
DB02418	16982
DB02421	58885
DB02421	66914
DB02428	19775
DB02430	58429
DB02431	37563
DB02446	85433
DB02452	37568
DB02453	15377
DB02456	60377
DB02458	133977
DB02460	77873
DB02464	225238
DB02467	58772
DB02467	58773
DB02470	60203
DB02470	60204
DB02475	57303
DB02481	41117
DB02482	58675
DB02484	58311
DB02485	57812
DB02494	11009
DB02494	8100
DB02496	57792
DB02497	64765
DB02501	58241
DB02509	16619
DB02509	16774
DB02515	231935
DB02515	57597
DB02515	57685
DB02516	60932
DB02516	62047
DB02517	29985
DB02517	29986
DB02521	58696
DB02522	71402
DB02527	58165
DB02530	59888
DB02531	48944
DB02536	17378
DB02536	27975
DB02543	27660
DB02547	140433
DB02547	57273
DB02547	57638
DB02547	58224
DB02548	60083
DB02548	60084
DB02548	61381
DB02552	57665
DB02552	58057
DB02554	60009
DB02556	57981
DB02556	58095
DB02561	48649
DB02562	43120
DB02563	62620
DB02571	57988
DB02571	58321
DB02576	42677
DB02579	37080
DB02591	15890
DB02594	15698
DB02601	57475
DB02604	84760
DB02609	58452
DB02624	58093
DB02624	58633
DB02630	370252
DB02630	57695
DB02630	58566
DB02630	87817
DB02637	16452
DB02648	11060
DB02648	16347
DB02648	17126
DB02655	29990
DB02655	29991
DB02657	58725
DB02657	71674
DB02657	75989
DB02659	137661
DB02659	137880
DB02659	15755
DB02659	29747
DB02659	87735
DB02663	58882
DB02678	144817
DB02678	58723
DB02679	16698
DB02680	51397
DB02688	76565
DB02691	29746
DB02693	28059
DB02693	41837
DB02699	44597
DB02701	17154
DB02703	71321
DB02709	45713
DB02710	143010
DB02710	58154
DB02714	60784
DB02716	87133
DB02717	143180
DB02717	61988
DB02717	62974
DB02724	29034
DB02726	58033
DB02736	27856
DB02738	63813
DB02740	143274
DB02743	17057
DB02743	17306
DB02743	17716
DB02743	18147
DB02743	18167
