drugbank_id	surechembl_id
DB00006	SCHEMBL1463422
DB00006	SCHEMBL16029740
DB00006	SCHEMBL17942159
DB00006	SCHEMBL19712553
DB00006	SCHEMBL2034151
DB00006	SCHEMBL2037978
DB00006	SCHEMBL25739
DB00006	SCHEMBL4139781
DB00006	SCHEMBL6268993
DB00007	SCHEMBL1025887
DB00007	SCHEMBL1029426
DB00007	SCHEMBL1357405
DB00007	SCHEMBL14190828
DB00007	SCHEMBL1433053
DB00007	SCHEMBL1463476
DB00007	SCHEMBL15569173
DB00007	SCHEMBL15902833
DB00007	SCHEMBL15921358
DB00007	SCHEMBL1651429
DB00007	SCHEMBL16896869
DB00007	SCHEMBL177978
DB00007	SCHEMBL1820945
DB00007	SCHEMBL1831789
DB00007	SCHEMBL19359085
DB00007	SCHEMBL20508900
DB00007	SCHEMBL20508907
DB00007	SCHEMBL20677697
DB00007	SCHEMBL21540132
DB00007	SCHEMBL21596247
DB00007	SCHEMBL2233950
DB00007	SCHEMBL2428076
DB00007	SCHEMBL2464655
DB00007	SCHEMBL2464846
DB00007	SCHEMBL2544038
DB00007	SCHEMBL2843327
DB00007	SCHEMBL3036508
DB00007	SCHEMBL3127922
DB00007	SCHEMBL3174
DB00007	SCHEMBL3179975
DB00007	SCHEMBL3404483
DB00007	SCHEMBL3467577
DB00007	SCHEMBL3622587
DB00007	SCHEMBL3915060
DB00007	SCHEMBL4075500
DB00007	SCHEMBL4414320
DB00007	SCHEMBL4451070
DB00007	SCHEMBL4585
DB00007	SCHEMBL4586
DB00007	SCHEMBL467746
DB00007	SCHEMBL4735617
DB00007	SCHEMBL4741614
DB00007	SCHEMBL4895650
DB00007	SCHEMBL4975807
DB00007	SCHEMBL530215
DB00007	SCHEMBL5544849
DB00007	SCHEMBL5605264
DB00007	SCHEMBL570851
DB00007	SCHEMBL6236218
DB00007	SCHEMBL6367864
DB00007	SCHEMBL6448301
DB00007	SCHEMBL6463006
DB00007	SCHEMBL6755758
DB00007	SCHEMBL7100424
DB00007	SCHEMBL713554
DB00007	SCHEMBL7202372
DB00007	SCHEMBL7619565
DB00007	SCHEMBL7752312
DB00007	SCHEMBL8057692
DB00007	SCHEMBL8384924
DB00007	SCHEMBL847084
DB00007	SCHEMBL8937723
DB00007	SCHEMBL8937766
DB00007	SCHEMBL9222733
DB00007	SCHEMBL9226889
DB00014	SCHEMBL1029741
DB00014	SCHEMBL13660188
DB00014	SCHEMBL1433614
DB00014	SCHEMBL14485644
DB00014	SCHEMBL14973645
