drugbank_id	swisslipids_id
DB00132	SLM:000001101
DB00136	SLM:000000475
DB00139	SLM:000000892
DB00144	SLM:000006318
DB00146	SLM:000000474
DB00153	SLM:000000463
DB00154	SLM:000000928
DB00159	SLM:000000409
DB00162	SLM:000000511
DB00162	SLM:000000983
DB00169	SLM:000000473
DB00258	SLM:000000449
DB00624	SLM:000001059
DB00624	SLM:000485679
DB00632	SLM:000001242
DB00770	SLM:000390038
DB00917	SLM:000000916
DB01022	SLM:000390033
DB01160	SLM:000000437
DB01160	SLM:000390100
DB01240	SLM:000390040
DB01375	SLM:000000826
DB01440	SLM:000389796
DB01456	SLM:000390143
DB01481	SLM:000501176
DB01524	SLM:000485341
DB01530	SLM:000399825
DB01536	SLM:000001060
DB01541	SLM:000501175
DB01561	SLM:000001056
DB01561	SLM:000485681
DB01586	SLM:000000861
DB01586	SLM:000485388
DB01586	SLM:000485390
DB01586	SLM:000501383
DB01677	SLM:000389686
DB01707	SLM:000000668
DB01708	SLM:000390142
DB01728	SLM:000034909
DB01762	SLM:000000867
DB01785	SLM:000000304
DB01919	SLM:000399867
DB01966	SLM:000034913
DB02043	SLM:000000812
DB02056	SLM:000000427
DB02123	SLM:000485695
DB02144	SLM:000000685
DB02175	SLM:000000866
DB02176	SLM:000000449
DB02180	SLM:000000439
DB02201	SLM:000000866
DB02261	SLM:000000698
DB02306	SLM:000000792
DB02406	SLM:000389552
DB02448	SLM:000001198
DB02509	SLM:000399835
DB02552	SLM:000000305
DB02563	SLM:000000705
DB02659	SLM:000000859
DB02659	SLM:000501381
DB02691	SLM:000485375
DB02767	SLM:000390152
DB02767	SLM:000485323
DB02777	SLM:000012481
DB02793	SLM:000485363
DB02854	SLM:000485315
DB02901	SLM:000001058
DB02901	SLM:000485676
DB02901	SLM:000485680
DB02910	SLM:000000707
DB02912	SLM:000389157
DB02938	SLM:000389947
DB02955	SLM:000390171
DB02955	SLM:000390173
DB02955	SLM:000501246
DB03017	SLM:000000719
DB03059	SLM:000000298
DB03166	SLM:000000449
DB03192	SLM:000001027
DB03192	SLM:000485319
DB03193	SLM:000000826
DB03203	SLM:000000412
DB03264	SLM:000000649
DB03381	SLM:000000388
DB03426	SLM:000500615
DB03438	SLM:000000686
DB03500	SLM:000001128
DB03518	SLM:000000300
DB03553	SLM:000389477
DB03568	SLM:000001195
DB03600	SLM:000000855
DB03612	SLM:000001032
DB03612	SLM:000389933
DB03612	SLM:000390090
DB03619	SLM:000485699
DB03619	SLM:000501379
DB03633	SLM:000000693
DB03690	SLM:000000798
DB03699	SLM:000000891
DB03704	SLM:000389676
DB03756	SLM:000001084
DB03766	SLM:000001194
DB03796	SLM:000000510
DB03832	SLM:000389981
DB03866	SLM:000389777
DB03882	SLM:000399825
DB03926	SLM:000399825
DB04045	SLM:000390135
DB04045	SLM:000485354
DB04045	SLM:000485355
DB04178	SLM:000012489
DB04199	SLM:000020674
DB04224	SLM:000000418
DB04224	SLM:000389844
DB04257	SLM:000000411
DB04299	SLM:000389686
DB04327	SLM:000034913
DB04348	SLM:000485655
DB04372	SLM:000012474
DB04377	SLM:000000862
DB04519	SLM:000000853
DB04524	SLM:000000274
