drugbank_id	zinc_id
DB00114	ZINC000001532514
DB00116	ZINC000004228235
DB00116	ZINC000004228236
DB00116	ZINC000004228237
DB00116	ZINC000004228238
DB00117	ZINC000006661227
DB00117	ZINC000006661404
DB00118	ZINC000004214738
DB00118	ZINC000004228231
DB00118	ZINC000012371977
DB00118	ZINC000012371978
DB00118	ZINC000013522357
DB00118	ZINC000013522362
DB00118	ZINC000033821030
DB00118	ZINC000033821031
DB00118	ZINC000095644663
DB00118	ZINC000095644664
DB00118	ZINC000139339614
DB00119	ZINC000001532517
DB00120	ZINC000000001927
DB00120	ZINC000000105196
DB00121	ZINC000001532548
DB00121	ZINC000002169825
DB00121	ZINC000002169827
DB00121	ZINC000035024345
DB00121	ZINC000035024346
DB00121	ZINC000035024349
DB00121	ZINC000035024352
DB00122	ZINC000003079337
DB00123	ZINC000001532522
DB00123	ZINC000001532731
DB00125	ZINC000001532525
DB00125	ZINC000001532749
DB00126	ZINC000100006134
DB00126	ZINC000100006137
DB00126	ZINC000100006770
DB00126	ZINC000100006772
DB00127	ZINC000001532734
DB00128	ZINC000000895032
DB00128	ZINC000000895218
DB00129	ZINC000001532530
DB00129	ZINC000001532678
DB00130	ZINC000001532526
DB00130	ZINC000001532609
DB00131	ZINC000001532515
DB00131	ZINC000001571045
DB00131	ZINC000001842158
DB00131	ZINC000002046931
DB00131	ZINC000002126310
DB00131	ZINC000003201889
DB00131	ZINC000003201891
DB00131	ZINC000003201893
DB00131	ZINC000003581324
DB00131	ZINC000003830180
DB00131	ZINC000003860156
DB00131	ZINC000003977897
DB00131	ZINC000004806442
DB00131	ZINC000008613167
DB00131	ZINC000008614744
DB00131	ZINC000013518964
DB00132	ZINC000003802189
DB00132	ZINC000003870057
DB00132	ZINC000013508536
DB00132	ZINC000013508538
DB00132	ZINC000013508540
DB00132	ZINC000033822146
DB00133	ZINC000000895034
DB00133	ZINC000000895342
DB00134	ZINC000001532529
DB00134	ZINC000001532766
DB00135	ZINC000000002234
DB00135	ZINC000000266964
DB00136	ZINC000003924790
DB00136	ZINC000003994235
DB00136	ZINC000004862775
DB00136	ZINC000012484901
DB00136	ZINC000013543615
DB00136	ZINC000013815383
DB00136	ZINC000022129829
DB00136	ZINC000025988840
DB00136	ZINC000025988848
DB00136	ZINC000025988857
DB00136	ZINC000025990572
DB00136	ZINC000025990582
DB00136	ZINC000025990590
DB00136	ZINC000027103601
DB00136	ZINC000027644181
DB00136	ZINC000029317994
DB00136	ZINC000029345962
DB00136	ZINC000029552075
DB00136	ZINC000029552079
DB00136	ZINC000033969738
DB00136	ZINC000034452013
DB00136	ZINC000035024574
DB00136	ZINC000035024577
DB00136	ZINC000035024580
DB00136	ZINC000043768011
DB00136	ZINC000071789635
DB00136	ZINC000071789636
DB00136	ZINC000090195403
DB00136	ZINC000096029744
DB00136	ZINC000100014600
DB00136	ZINC000100014603
DB00136	ZINC000100014605
DB00136	ZINC000100014609
DB00136	ZINC000100015048
DB00136	ZINC000100031094
DB00136	ZINC000100218081
DB00136	ZINC000100218082
DB00136	ZINC000100471161
DB00136	ZINC000100494705
DB00136	ZINC000100987889
DB00136	ZINC000101007453
DB00136	ZINC000101007457
DB00136	ZINC000102229294
DB00136	ZINC000104885278
DB00136	ZINC000104885283
DB00136	ZINC000109565817
DB00136	ZINC000112984096
DB00136	ZINC000146562122
DB00136	ZINC000169366072
DB00136	ZINC000169366073
DB00136	ZINC000195275823
DB00136	ZINC000195275833
DB00136	ZINC000257354948
DB00137	ZINC000008221225
DB00137	ZINC000014879955
DB00137	ZINC000014879957
DB00137	ZINC000014879959
DB00137	ZINC000014879961
DB00137	ZINC000040164368
DB00137	ZINC000040164369
DB00137	ZINC000040164412
DB00137	ZINC000040164432
DB00137	ZINC000040164436
DB00137	ZINC000040164437
DB00137	ZINC000043768013
DB00137	ZINC000043768015
DB00137	ZINC000043768017
DB00137	ZINC000043768019
DB00137	ZINC000052245191
DB00137	ZINC000052245193
DB00137	ZINC000052245195
DB00137	ZINC000085511645
DB00137	ZINC000100051684
DB00137	ZINC000169297427
DB00137	ZINC000254114817
DB00137	ZINC000254114822
DB00137	ZINC000254114826
DB00137	ZINC000254114830
DB00137	ZINC000255222270
DB00137	ZINC000255222271
DB00137	ZINC000255222272
DB00137	ZINC000255222273
DB00137	ZINC000255222274
DB00137	ZINC000255222275
DB00137	ZINC000255222276
DB00137	ZINC000255222277
DB00137	ZINC000255222278
DB00137	ZINC000299888459
DB00137	ZINC000299888460
DB00137	ZINC000299888461
DB00137	ZINC000299889488
DB00137	ZINC000299889489
DB00138	ZINC000001529198
DB00138	ZINC000001529200
DB00138	ZINC000001532673
DB00139	ZINC000000895030
DB00140	ZINC000001532585
DB00140	ZINC000001769096
DB00140	ZINC000002036848
DB00140	ZINC000003650334
DB00140	ZINC000003831422
DB00140	ZINC000003831423
DB00140	ZINC000003831424
DB00140	ZINC000011565587
DB00140	ZINC000100018264
DB00141	ZINC000001593341
DB00141	ZINC000002020190
DB00141	ZINC000002077807
DB00141	ZINC000002508225
DB00141	ZINC000004523240
DB00141	ZINC000004523242
DB00141	ZINC000004533798
DB00141	ZINC000013532457
DB00141	ZINC000013532465
DB00141	ZINC000036378001
DB00141	ZINC000145136605
DB00141	ZINC000169342018
DB00141	ZINC000254312454
DB00142	ZINC000000895124
DB00142	ZINC000001482113
DB00143	ZINC000003830891
DB00143	ZINC000003830892
DB00143	ZINC000003830893
DB00143	ZINC000003830894
DB00144	ZINC000012484909
DB00144	ZINC000014768381
DB00145	ZINC000004658552
DB00146	ZINC000004474414
DB00146	ZINC000004623695
DB00146	ZINC000012484919
DB00146	ZINC000012484926
DB00146	ZINC000013525982
DB00146	ZINC000013815379
DB00146	ZINC000026891873
DB00146	ZINC000026891878
DB00146	ZINC000026891883
DB00146	ZINC000035024774
DB00146	ZINC000035024775
DB00146	ZINC000035024777
DB00146	ZINC000039953728
DB00146	ZINC000044564314
DB00146	ZINC000044564316
DB00146	ZINC000096029743
DB00146	ZINC000100006998
DB00146	ZINC000100218076
DB00146	ZINC000100218077
DB00146	ZINC000100605450
DB00146	ZINC000100769825
DB00146	ZINC000138505411
DB00146	ZINC000146701183
DB00146	ZINC000194884685
DB00146	ZINC000669679125
DB00147	ZINC000000120249
DB00148	ZINC000003861770
DB00149	ZINC000000388396
DB00149	ZINC000003645145
DB00150	ZINC000000083315
DB00150	ZINC000000083317
DB00151	ZINC000000895042
DB00151	ZINC000000895347
DB00152	ZINC000000049153
DB00153	ZINC000004474571
DB00153	ZINC000004492862
DB00153	ZINC000004492863
DB00153	ZINC000004492865
DB00153	ZINC000004492866
DB00153	ZINC000004629876
DB00153	ZINC000005294779
DB00153	ZINC000005294783
DB00153	ZINC000005481905
DB00153	ZINC000007997527
DB00153	ZINC000007998023
DB00153	ZINC000011592609
DB00153	ZINC000013783346
DB00153	ZINC000013783347
DB00153	ZINC000013783348
DB00153	ZINC000013783349
DB00153	ZINC000013813106
